Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.00596481547	-20.0018876	-20.0018876	-20.0018876	-20.0018876	0	0	0	0	0	0	0	3
2	18	0	0.0119296309	-20.003117	-20.0025023	-20.003117	-20.0018876	0.00061468182	0	0	0	0	0	0	3
3	22	0	0.0178944464	-20.0031855	-20.0027301	-20.0031855	-20.0018876	0.000842401612	0	0	0	0	0	0	3
4	26	0	0.0238592619	-20.0033928	-20.0028957	-20.0033928	-20.0018876	0.0010080783	0	0	0	0	0	0	3
5	34	0	0.0298240773	-20.003545	-20.0030256	-20.003545	-20.0018876	0.00113794099	0	0	0	0	0	0	3
6	39	0	0.0357888928	-20.0039092	-20.0031729	-20.0039092	-20.0018876	0.00128520848	0	0	0	0	0	0	3
7	43	0	0.0417537083	-20.0043158	-20.0033361	-20.0043158	-20.0018876	0.00144849065	0	0	0	0	0	0	3
8	48	0	0.0477185237	-20.0047916	-20.0035181	-20.0047916	-20.0018876	0.00163042379	0	0	0	0	0	0	3
9	52	0	0.0536833392	-20.0052469	-20.0037102	-20.0052469	-20.0018876	0.00182251363	0	0	0	0	0	0	3
10	56	0	0.0596481547	-20.0057154	-20.0039107	-20.0057154	-20.0018876	0.00202303889	0	0	0	0	0	0	3
11	60	0	0.0656129701	-20.0062346	-20.0041219	-20.0062346	-20.0018876	0.00223429921	0	0	0	0	0	0	3
12	64	0	0.0715777856	-20.0067533	-20.0043412	-20.0067533	-20.0018876	0.00245357535	0	0	0	0	0	0	3
13	69	0	0.0775426011	-20.0072374	-20.004564	-20.0072374	-20.0018876	0.00267635998	0	0	0	0	0	0	3
14	73	0	0.0835074165	-20.0076728	-20.0047861	-20.0076728	-20.0018876	0.00289841927	0	0	0	0	0	0	3
15	78	0	0.089472232	-20.0080617	-20.0050044	-20.0080617	-20.0018876	0.00311679333	0	0	0	0	0	0	3
16	82	0	0.0954370475	-20.0086127	-20.00523	-20.0086127	-20.0018876	0.00334230738	0	0	0	0	0	0	3
