Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.00596481547	-59.4902028	-59.4902028	-59.4902028	-59.4902028	0	0	0	0	0	0	0	3
2	18	0	0.0119296309	30.7675545	-14.3613242	-59.4902028	30.7675545	45.1288786	0	0	0	0	0	0	3
3	22	0	0.0178944464	25.3355868	-1.1290205	-59.4902028	30.7675545	58.3611823	0	0	0	0	0	0	3
4	26	0	0.0238592619	24.3737099	5.2466621	-59.4902028	30.7675545	64.7368649	0	0	0	0	0	0	3
5	34	0	0.0298240773	26.5949959	9.51632886	-59.4902028	30.7675545	69.0065317	0	0	0	0	0	0	3
6	39	0	0.0357888928	29.1854704	12.7945191	-59.4902028	30.7675545	72.2847219	0	0	0	0	0	0	3
7	43	0	0.0417537083	29.9667243	15.2476913	-59.4902028	30.7675545	74.7378941	0	0	0	0	0	0	3
8	48	0	0.0477185237	32.020613	17.3443065	-59.4902028	32.020613	76.8345093	0	0	0	0	0	0	3
9	52	0	0.0536833392	33.7966026	19.1723394	-59.4902028	33.7966026	78.6625422	0	0	0	0	0	0	3
10	56	0	0.0596481547	35.093895	20.764495	-59.4902028	35.093895	80.2546978	0	0	0	0	0	0	3
11	60	0	0.0656129701	34.5910511	22.0214546	-59.4902028	35.093895	81.5116574	0	0	0	0	0	0	3
12	64	0	0.0715777856	35.0902615	23.1105219	-59.4902028	35.093895	82.6007247	0	0	0	0	0	0	3
13	69	0	0.0775426011	35.7662457	24.0840391	-59.4902028	35.7662457	83.5742419	0	0	0	0	0	0	3
14	73	0	0.0835074165	35.8685306	24.9257885	-59.4902028	35.8685306	84.4159913	0	0	0	0	0	0	3
15	78	0	0.089472232	35.7055969	25.6444424	-59.4902028	35.8685306	85.1346452	0	0	0	0	0	0	3
16	82	0	0.0954370475	36.0680852	26.29592	-59.4902028	36.0680852	85.7861228	0	0	0	0	0	0	3
17	87	0	0.101401863	35.4343008	26.8334719	-59.4902028	36.0680852	86.3236747	0	0	0	0	0	0	3
18	91	0	0.107366678	34.661703	27.2683736	-59.4902028	36.0680852	86.7585764	0	0	0	0	0	0	3
19	96	0	0.113331494	34.0021363	27.6227822	-59.4902028	36.0680852	87.112985	0	0	0	0	0	0	3
20	100	0	0.119296309	33.083145	27.8958003	-59.4902028	36.0680852	87.3860031	0	0	0	0	0	0	3
21	104	0	0.125261125	32.5408175	28.1169916	-59.4902028	36.0680852	87.6071944	0	0	0	0	0	0	3
22	109	0	0.13122594	31.3806392	28.2653392	-59.4902028	36.0680852	87.755542	0	0	0	0	0	0	3
23	113	0	0.137190756	29.9243321	28.3374693	-59.4902028	36.0680852	87.8276721	0	0	0	0	0	0	3
24	117	0	0.143155571	28.7975437	28.3566391	-59.4902028	36.0680852	87.8468419	0	0	0	0	0	0	3
25	121	0	0.149120387	28.0615726	28.3448364	-59.4902028	36.0680852	87.8468419	0	0	0	0	0	0	3
26	126	0	0.155085202	27.3219859	28.305496	-59.4902028	36.0680852	87.8468419	0	0	0	0	0	0	3
27	130	0	0.161050018	26.4889101	28.2382151	-59.4902028	36.0680852	87.8468419	0	0	0	0	0	0	3
28	135	0	0.167014833	25.4149527	28.1373843	-59.4902028	36.0680852	87.8468419	0	0	0	0	0	0	3
29	139	0	0.172979649	24.4304341	28.0095584	-59.4902028	36.0680852	87.8468419	0	0	0	0	0	0	3
30	143	0	0.178944464	23.8322526	27.8703149	-59.4902028	36.0680852	87.8468419	0	0	0	0	0	0	3
31	148	0	0.184909279	23.4864977	27.7289014	-59.4902028	36.0680852	87.8468419	0	0	0	0	0	0	3
32	152	0	0.190874095	23.1114527	27.5846061	-59.4902028	36.0680852	87.8468419	0	0	0	0	0	0	3
