Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.00596481547	-1057.41928	-1057.41928	-1057.41928	-1057.41928	0	0	0	0	0	0	0	3
2	18	0	0.0119296309	-87.9567294	-572.688006	-1057.41928	-87.9567294	484.731277	0	0	0	0	0	0	3
3	22	0	0.0178944464	-32.0187482	-392.46492	-1057.41928	-32.0187482	664.954363	0	0	0	0	0	0	3
4	26	0	0.0238592619	-18.3138258	-298.927147	-1057.41928	-18.3138258	758.492137	0	0	0	0	0	0	3
5	34	0	0.0298240773	-23.1209013	-243.765898	-1057.41928	-18.3138258	813.653386	0	0	0	0	0	0	3
6	39	0	0.0357888928	-18.4184127	-206.207983	-1057.41928	-18.3138258	851.2113	0	0	0	0	0	0	3
7	43	0	0.0417537083	-19.2014271	-179.492761	-1057.41928	-18.3138258	877.926522	0	0	0	0	0	0	3
8	48	0	0.0477185237	-16.8651948	-159.164315	-1057.41928	-16.8651948	898.254968	0	0	0	0	0	0	3
9	52	0	0.0536833392	-16.7878908	-143.344713	-1057.41928	-16.7878908	914.074571	0	0	0	0	0	0	3
10	56	0	0.0596481547	-15.3446732	-130.544709	-1057.41928	-15.3446732	926.874575	0	0	0	0	0	0	3
11	60	0	0.0656129701	-14.9757963	-120.038444	-1057.41928	-14.9757963	937.380839	0	0	0	0	0	0	3
12	64	0	0.0715777856	-14.4143147	-111.236433	-1057.41928	-14.4143147	946.18285	0	0	0	0	0	0	3
13	69	0	0.0775426011	-14.0621937	-103.761492	-1057.41928	-14.0621937	953.657792	0	0	0	0	0	0	3
14	73	0	0.0835074165	-13.6595339	-97.3256375	-1057.41928	-13.6595339	960.093646	0	0	0	0	0	0	3
15	78	0	0.089472232	-13.3814189	-91.7293563	-1057.41928	-13.3814189	965.689927	0	0	0	0	0	0	3
16	82	0	0.0954370475	-13.1403752	-86.817545	-1057.41928	-13.1403752	970.601738	0	0	0	0	0	0	3
17	87	0	0.101401863	-12.8058809	-82.4639177	-1057.41928	-12.8058809	974.955366	0	0	0	0	0	0	3
18	91	0	0.107366678	-12.6244711	-78.5839484	-1057.41928	-12.6244711	978.835335	0	0	0	0	0	0	3
19	96	0	0.113331494	-12.4695191	-75.1042416	-1057.41928	-12.4695191	982.315042	0	0	0	0	0	0	3
20	100	0	0.119296309	-12.2964272	-71.9638509	-1057.41928	-12.2964272	985.455433	0	0	0	0	0	0	3
21	104	0	0.125261125	-12.1622529	-69.1161557	-1057.41928	-12.1622529	988.303128	0	0	0	0	0	0	3
