Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.00596481547	7.50971119	7.50971119	7.50971119	7.50971119	0	0	0	0	0	0	0	3
2	18	0	0.0119296309	12.3447885	9.92724985	7.50971119	12.3447885	2.41753866	0	0	0	0	0	0	3
3	22	0	0.0178944464	10.3059875	10.0534957	7.50971119	12.3447885	2.54378454	0	0	0	0	0	0	3
4	26	0	0.0238592619	9.38883497	9.88733054	7.50971119	12.3447885	2.54378454	0	0	0	0	0	0	3
5	34	0	0.0298240773	8.69160102	9.64818464	7.50971119	12.3447885	2.54378454	0	0	0	0	0	0	3
6	39	0	0.0357888928	7.59036238	9.30521426	7.50971119	12.3447885	2.54378454	0	0	0	0	0	0	3
7	43	0	0.0417537083	7.0743281	8.98651624	7.0743281	12.3447885	2.54378454	0	0	0	0	0	0	3
8	48	0	0.0477185237	6.93465781	8.73003393	6.93465781	12.3447885	2.54378454	0	0	0	0	0	0	3
9	52	0	0.0536833392	9.70576695	8.83844871	6.93465781	12.3447885	2.54378454	0	0	0	0	0	0	3
10	56	0	0.0596481547	10.8560005	9.04020389	6.93465781	12.3447885	2.54378454	0	0	0	0	0	0	3
11	60	0	0.0656129701	11.2019949	9.23673035	6.93465781	12.3447885	2.54378454	0	0	0	0	0	0	3
12	64	0	0.0715777856	10.3344612	9.32820792	6.93465781	12.3447885	2.54378454	0	0	0	0	0	0	3
13	69	0	0.0775426011	12.0652691	9.53875109	6.93465781	12.3447885	2.54378454	0	0	0	0	0	0	3
14	73	0	0.0835074165	12.1945106	9.7284482	6.93465781	12.3447885	2.54378454	0	0	0	0	0	0	3
15	78	0	0.089472232	13.5191327	9.98116049	6.93465781	13.5191327	2.54378454	0	0	0	0	0	0	3
16	82	0	0.0954370475	12.2073302	10.1202961	6.93465781	13.5191327	2.61058491	0	0	0	0	0	0	3
17	87	0	0.101401863	12.7432808	10.2745893	6.93465781	13.5191327	2.76487813	0	0	0	0	0	0	3
18	91	0	0.107366678	11.1103129	10.3210184	6.93465781	13.5191327	2.81130722	0	0	0	0	0	0	3
19	96	0	0.113331494	10.2253667	10.3159841	6.93465781	13.5191327	2.81130722	0	0	0	0	0	0	3
20	100	0	0.119296309	8.71587203	10.2359785	6.93465781	13.5191327	2.81130722	0	0	0	0	0	0	3
21	104	0	0.125261125	6.34996446	10.0509302	6.34996446	13.5191327	2.81130722	0	0	0	0	0	0	3
22	109	0	0.13122594	4.8099429	9.81270352	4.8099429	13.5191327	2.81130722	0	0	0	0	0	0	3
23	113	0	0.137190756	2.95963878	9.51474418	2.95963878	13.5191327	2.81130722	0	0	0	0	0	0	3
24	117	0	0.143155571	5.14775205	9.33278618	2.95963878	13.5191327	2.81130722	0	0	0	0	0	0	3
25	121	0	0.149120387	2.84834603	9.07340857	2.84834603	13.5191327	2.81130722	0	0	0	0	0	0	3
26	126	0	0.155085202	7.23104293	9.00254835	2.84834603	13.5191327	2.81130722	0	0	0	0	0	0	3
27	130	0	0.161050018	3.43784286	8.79644815	2.84834603	13.5191327	2.81130722	0	0	0	0	0	0	3
28	135	0	0.167014833	5.50709451	8.67897123	2.84834603	13.5191327	2.81130722	0	0	0	0	0	0	3
29	139	0	0.172979649	3.522555	8.50116378	2.84834603	13.5191327	2.81130722	0	0	0	0	0	0	3
30	143	0	0.178944464	5.35679858	8.3963516	2.84834603	13.5191327	2.81130722	0	0	0	0	0	0	3
31	148	0	0.184909279	3.37586555	8.23440044	2.84834603	13.5191327	2.81130722	0	0	0	0	0	0	3
32	152	0	0.190874095	5.42437075	8.14658701	2.84834603	13.5191327	2.81130722	0	0	0	0	0	0	3
33	156	0	0.19683891	3.72959977	8.01273892	2.84834603	13.5191327	2.81130722	0	0	0	0	0	0	3
34	160	0	0.202803726	4.69406263	7.91513079	2.84834603	13.5191327	2.81130722	0	0	0	0	0	0	3
35	164	0	0.208768541	3.57520115	7.7911328	2.84834603	13.5191327	2.81130722	0	0	0	0	0	0	3
36	169	0	0.214733357	5.52647516	7.72822564	2.84834603	13.5191327	2.81130722	0	0	0	0	0	0	3
37	173	0	0.220698172	3.34888478	7.60986508	2.84834603	13.5191327	2.81130722	0	0	0	0	0	0	3
38	178	0	0.226662988	4.18666243	7.5197808	2.84834603	13.5191327	2.81130722	0	0	0	0	0	0	3
39	182	0	0.232627803	3.32320071	7.41217618	2.84834603	13.5191327	2.90884222	0	0	0	0	0	0	3
40	186	0	0.238592619	4.11247667	7.32968369	2.84834603	13.5191327	2.99133471	0	0	0	0	0	0	3
41	191	0	0.244557434	2.90623989	7.22179482	2.84834603	13.5191327	3.09922358	0	0	0	0	0	0	3
42	195	0	0.25052225	4.41030527	7.15485459	2.84834603	13.5191327	3.16616381	0	0	0	0	0	0	3
43	200	0	0.256487065	2.97977216	7.05775965	2.84834603	13.5191327	3.26325875	0	0	0	0	0	0	3
44	205	0	0.262451881	3.82634584	6.98431843	2.84834603	13.5191327	3.33669997	0	0	0	0	0	0	3
45	209	0	0.268416696	3.76309641	6.91273572	2.84834603	13.5191327	3.40828268	0	0	0	0	0	0	3
46	213	0	0.274381511	4.52618837	6.86085425	2.84834603	13.5191327	3.46016415	0	0	0	0	0	0	3
47	218	0	0.280346327	3.43438825	6.78795072	2.84834603	13.5191327	3.53306768	0	0	0	0	0	0	3
48	222	0	0.286311142	3.96920183	6.72922679	2.84834603	13.5191327	3.59179162	0	0	0	0	0	0	3
49	227	0	0.292275958	3.27709427	6.6587751	2.84834603	13.5191327	3.6622433	0	0	0	0	0	0	3
50	293	0	0.298240773	4.23534107	6.61030642	2.84834603	13.5191327	3.71071198	0	0	0	0	0	0	3
51	298	0	0.304205589	3.43859062	6.54811592	2.84834603	13.5191327	3.77290249	0	0	0	0	0	0	3
52	307	0	0.310170404	4.5808118	6.51028314	2.84834603	13.5191327	3.81073526	0	0	0	0	0	0	3
53	312	0	0.31613522	5.38861178	6.48911953	2.84834603	13.5191327	3.83189887	0	0	0	0	0	0	3
54	317	0	0.322100035	4.56767287	6.45353719	2.84834603	13.5191327	3.86748121	0	0	0	0	0	0	3
55	321	0	0.328064851	6.41709854	6.45287467	2.84834603	13.5191327	3.86814374	0	0	0	0	0	0	3
56	326	0	0.334029666	4.68984259	6.42139195	2.84834603	13.5191327	3.89962645	0	0	0	0	0	0	3
57	331	0	0.339994482	6.10153209	6.41578038	2.84834603	13.5191327	3.90523803	0	0	0	0	0	0	3
58	335	0	0.345959297	4.67740196	6.38580833	2.84834603	13.5191327	3.93521007	0	0	0	0	0	0	3
59	340	0	0.351924113	5.57267938	6.37202649	2.84834603	13.5191327	3.94899192	0	0	0	0	0	0	3
60	344	0	0.357888928	4.17216963	6.33536221	2.84834603	13.5191327	3.9856562	0	0	0	0	0	0	3
61	349	0	0.363853743	5.17051305	6.31626632	2.84834603	13.5191327	4.00475208	0	0	0	0	0	0	3
62	353	0	0.369818559	4.1479993	6.28129427	2.84834603	13.5191327	4.03972413	0	0	0	0	0	0	3
63	358	0	0.375783374	4.0632526	6.24608726	2.84834603	13.5191327	4.07493114	0	0	0	0	0	0	3
64	362	0	0.38174819	4.40565334	6.21733048	2.84834603	13.5191327	4.10368792	0	0	0	0	0	0	3
65	366	0	0.387713005	4.10222698	6.18479043	2.84834603	13.5191327	4.13622798	0	0	0	0	0	0	3
66	370	0	0.393677821	4.35088317	6.15700395	2.84834603	13.5191327	4.16401445	0	0	0	0	0	0	3
67	374	0	0.399642636	3.89955027	6.12331061	2.84834603	13.5191327	4.19770779	0	0	0	0	0	0	3
68	378	0	0.405607452	4.40522763	6.09804469	2.84834603	13.5191327	4.22297372	0	0	0	0	0	0	3
69	383	0	0.411572267	3.78498113	6.06452203	2.84834603	13.5191327	4.25649638	0	0	0	0	0	0	3
70	387	0	0.417537083	4.26558294	6.0388229	2.84834603	13.5191327	4.28219551	0	0	0	0	0	0	3
71	392	0	0.423501898	3.60235106	6.00450639	2.84834603	13.5191327	4.31651201	0	0	0	0	0	0	3
72	396	0	0.429466714	5.08029151	5.99167007	2.84834603	13.5191327	4.32934833	0	0	0	0	0	0	3
73	400	0	0.435431529	3.81479251	5.96184983	2.84834603	13.5191327	4.35916857	0	0	0	0	0	0	3
74	404	0	0.441396345	5.56541408	5.95649259	2.84834603	13.5191327	4.36452581	0	0	0	0	0	0	3
75	408	0	0.44736116	3.60750888	5.92517281	2.84834603	13.5191327	4.39584559	0	0	0	0	0	0	3
76	412	0	0.453325975	4.39272804	5.90500906	2.84834603	13.5191327	4.41600934	0	0	0	0	0	0	3
77	416	0	0.459290791	3.70603645	5.87645098	2.84834603	13.5191327	4.44456742	0	0	0	0	0	0	3
78	421	0	0.465255606	4.14281676	5.8542249	2.84834603	13.5191327	4.4667935	0	0	0	0	0	0	3
79	426	0	0.471220422	3.52005505	5.82467844	2.84834603	13.5191327	4.49633996	0	0	0	0	0	0	3
80	431	0	0.477185237	4.75578536	5.81131728	2.84834603	13.5191327	4.50970112	0	0	0	0	0	0	3
81	435	0	0.483150053	3.56830189	5.78362573	2.84834603	13.5191327	4.53739267	0	0	0	0	0	0	3
82	440	0	0.489114868	4.44903063	5.76735018	2.84834603	13.5191327	4.55366822	0	0	0	0	0	0	3
83	445	0	0.495079684	3.60166756	5.74125762	2.84834603	13.5191327	4.57976078	0	0	0	0	0	0	3
84	449	0	0.501044499	4.04242772	5.72103346	2.84834603	13.5191327	4.59998495	0	0	0	0	0	0	3
85	454	0	0.507009315	3.69446014	5.6756138	2.84834603	13.5191327	4.6454046	0	0	0	0	0	0	3
86	458	0	0.51297413	4.73853633	5.58506318	2.84834603	13.5191327	4.73595522	0	0	0	0	0	0	3
87	463	0	0.518938946	3.49745442	5.50400921	2.84834603	13.5191327	4.81700919	0	0	0	0	0	0	3
88	467	0	0.524903761	4.49995963	5.44580832	2.84834603	13.5191327	4.87521009	0	0	0	0	0	0	3
89	472	0	0.530868577	3.44175644	5.38331017	2.84834603	13.5191327	4.93770824	0	0	0	0	0	0	3
90	476	0	0.536833392	4.77576679	5.34980308	2.84834603	13.5191327	4.97121533	0	0	0	0	0	0	3
91	481	0	0.542798207	3.24490198	5.30421467	2.84834603	13.5191327	5.01680373	0	0	0	0	0	0	3
92	485	0	0.548763023	4.72520209	5.27791163	2.84834603	13.5191327	5.04310678	0	0	0	0	0	0	3
93	490	0	0.554727838	3.15691404	5.19994909	2.84834603	13.5191327	5.12106931	0	0	0	0	0	0	3
94	494	0	0.560692654	4.74540145	5.12720387	2.84834603	13.5191327	5.19381454	0	0	0	0	0	0	3
95	499	0	0.566657469	3.10848891	5.0308526	2.84834603	13.5191327	5.2901658	0	0	0	0	0	0	3
96	503	0	0.572622285	4.57266634	4.96225981	2.84834603	13.5191327	5.3587586	0	0	0	0	0	0	3
97	508	0	0.5785871	2.90454705	4.85320359	2.84834603	13.5191327	5.46781481	0	0	0	0	0	0	3
98	512	0	0.584551916	4.4881694	4.76146143	2.84834603	13.5191327	5.55955697	0	0	0	0	0	0	3
99	517	0	0.590516731	3.5978285	4.64335067	2.84834603	12.7432808	5.67766773	0	0	0	0	0	0	3
100	521	0	0.596481547	4.30938182	4.54932748	2.84834603	12.7432808	5.77169093	0	0	0	0	0	0	3
101	528	0	0.602446362	2.92767367	4.43247501	2.84834603	11.1103129	5.88854339	0	0	0	0	0	0	3
102	533	0	0.608411178	4.12793409	4.34935145	2.84834603	10.2253667	5.96663265	0	0	0	0	0	0	3
103	538	0	0.614375993	2.84368028	4.26147423	2.84368028	8.71587203	5.87219175	0	0	0	0	0	0	3
104	542	0	0.620340808	4.23042656	4.20807607	2.84368028	7.23104293	4.38736265	0	0	0	0	0	0	3
105	547	0	0.626305624	3.13499628	4.16980264	2.84368028	7.23104293	4.38736265	0	0	0	0	0	0	3
106	551	0	0.632270439	4.14680977	4.1619082	2.84368028	7.23104293	4.38736265	0	0	0	0	0	0	3
107	556	0	0.638235255	3.44577132	4.16769549	2.84368028	7.23104293	4.38736265	0	0	0	0	0	0	3
108	560	0	0.64420007	4.02813987	4.15436678	2.84368028	7.23104293	4.38736265	0	0	0	0	0	0	3
109	565	0	0.650164886	2.91617112	4.15517422	2.84368028	7.23104293	4.38736265	0	0	0	0	0	0	3
110	569	0	0.656129701	4.20961257	4.11920481	2.84368028	6.41709854	3.57341826	0	0	0	0	0	0	3
111	574	0	0.662094517	3.35186034	4.11818121	2.84368028	6.41709854	3.57341826	0	0	0	0	0	0	3
112	579	0	0.668059332	4.14091303	4.10191714	2.84368028	6.41709854	3.57341826	0	0	0	0	0	0	3
113	583	0	0.674024148	3.01122925	4.09582993	2.84368028	6.41709854	3.57341826	0	0	0	0	0	0	3
114	588	0	0.679988963	4.24496028	4.08259376	2.84368028	6.41709854	3.57341826	0	0	0	0	0	0	3
115	592	0	0.685953779	3.00892138	4.07822538	2.84368028	6.41709854	3.57341826	0	0	0	0	0	0	3
116	597	0	0.691918594	4.61791284	4.06862469	2.84368028	6.41709854	3.57341826	0	0	0	0	0	0	3
117	602	0	0.69788341	2.98804881	4.0597967	2.84368028	6.41709854	3.57341826	0	0	0	0	0	0	3
118	606	0	0.703848225	4.77230069	4.06072811	2.84368028	6.41709854	3.57341826	0	0	0	0	0	0	3
119	611	0	0.70981304	2.91763885	4.05289998	2.84368028	6.41709854	3.57341826	0	0	0	0	0	0	3
120	615	0	0.715777856	4.94038331	4.0459227	2.84368028	6.41709854	3.56394238	0	0	0	0	0	0	3
121	620	0	0.721742671	2.8326162	4.03977665	2.8326162	6.41709854	3.48000415	0	0	0	0	0	0	3
122	625	0	0.727707487	4.92808762	4.04860314	2.8326162	6.41709854	3.37239954	0	0	0	0	0	0	3
123	629	0	0.733672302	3.13481038	4.04636039	2.8326162	6.41709854	3.28990705	0	0	0	0	0	0	3
124	634	0	0.739637118	4.77979182	4.05430462	2.8326162	6.41709854	3.18201817	0	0	0	0	0	0	3
125	638	0	0.745601933	3.03491603	4.05583648	2.8326162	6.41709854	3.11507795	0	0	0	0	0	0	3
126	643	0	0.751566749	4.71362197	4.05944739	2.8326162	6.41709854	3.01798301	0	0	0	0	0	0	3
127	648	0	0.757531564	3.17332038	4.06175154	2.8326162	6.41709854	2.94454178	0	0	0	0	0	0	3
128	652	0	0.76349638	4.80238145	4.07337101	2.8326162	6.41709854	2.87295907	0	0	0	0	0	0	3
129	657	0	0.769461195	2.77431039	4.06159975	2.77431039	6.41709854	2.82107761	0	0	0	0	0	0	3
130	661	0	0.775426011	4.7317181	4.06404653	2.77431039	6.41709854	2.74817408	0	0	0	0	0	0	3
131	666	0	0.781390826	3.0610175	4.05960164	2.77431039	6.41709854	2.68945014	0	0	0	0	0	0	3
132	670	0	0.787355642	4.64468829	4.06764315	2.77431039	6.41709854	2.61899846	0	0	0	0	0	0	3
133	675	0	0.793320457	3.25748563	4.06740971	2.77431039	6.41709854	2.57052978	0	0	0	0	0	0	3
134	679	0	0.799285272	4.60645856	4.07182778	2.77431039	6.41709854	2.50833927	0	0	0	0	0	0	3
135	684	0	0.805250088	5.13134148	4.09197957	2.77431039	6.41709854	2.4705065	0	0	0	0	0	0	3
136	689	0	0.811214903	4.55137407	4.09162912	2.77431039	6.41709854	2.44934289	0	0	0	0	0	0	3
137	693	0	0.817179719	4.70730215	4.08351829	2.77431039	6.41709854	2.41376054	0	0	0	0	0	0	3
138	698	0	0.823144534	4.45301416	4.08215331	2.77431039	6.41709854	2.41309802	0	0	0	0	0	0	3
139	702	0	0.82910935	3.55971785	4.04813687	2.77431039	6.10153209	2.38161531	0	0	0	0	0	0	3
140	707	0	0.835074165	4.49700584	4.0458412	2.77431039	6.10153209	2.37600373	0	0	0	0	0	0	3
141	712	0	0.841038981	3.98663699	4.02066387	2.77431039	5.57267938	2.36514446	0	0	0	0	0	0	3
142	716	0	0.847003796	4.52441819	4.01884264	2.77431039	5.57267938	2.35318385	0	0	0	0	0	0	3
143	721	0	0.852968612	4.86405427	4.01040663	2.77431039	5.56541408	2.32495558	0	0	0	0	0	0	3
144	726	0	0.858933427	5.58001038	4.02716663	2.77431039	5.58001038	2.30585969	0	0	0	0	0	0	3
