Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.00596481547	-26.7927816	-26.7927816	-26.7927816	-26.7927816	0	0	0	0	0	0	0	3
2	18	0	0.0119296309	-26.7041557	-26.7484687	-26.7927816	-26.7041557	0.0443129331	0	0	0	0	0	0	3
3	22	0	0.0178944464	-26.5350989	-26.6773454	-26.7927816	-26.5350989	0.115436179	0	0	0	0	0	0	3
4	26	0	0.0238592619	-26.3485936	-26.5951575	-26.7927816	-26.3485936	0.197624136	0	0	0	0	0	0	3
5	34	0	0.0298240773	-26.2471229	-26.5255506	-26.7927816	-26.2471229	0.267231044	0	0	0	0	0	0	3
6	39	0	0.0357888928	-26.1006223	-26.4547292	-26.7927816	-26.1006223	0.338052413	0	0	0	0	0	0	3
7	43	0	0.0417537083	-26.0492512	-26.3968038	-26.7927816	-26.0492512	0.395977842	0	0	0	0	0	0	3
8	48	0	0.0477185237	-26.0525581	-26.353773	-26.7927816	-26.0492512	0.439008555	0	0	0	0	0	0	3
9	52	0	0.0536833392	-26.0239291	-26.3171237	-26.7927816	-26.0239291	0.475657882	0	0	0	0	0	0	3
10	56	0	0.0596481547	-26.0108769	-26.286499	-26.7927816	-26.0108769	0.506282564	0	0	0	0	0	0	3
11	60	0	0.0656129701	-26.0024852	-26.2606796	-26.7927816	-26.0024852	0.532102002	0	0	0	0	0	0	3
12	64	0	0.0715777856	-26.0121979	-26.2399728	-26.7927816	-26.0024852	0.552808808	0	0	0	0	0	0	3
13	69	0	0.0775426011	-26.0312545	-26.2239175	-26.7927816	-26.0024852	0.568864064	0	0	0	0	0	0	3
14	73	0	0.0835074165	-26.0508745	-26.2115573	-26.7927816	-26.0024852	0.581224281	0	0	0	0	0	0	3
15	78	0	0.089472232	-26.0729016	-26.2023136	-26.7927816	-26.0024852	0.590467996	0	0	0	0	0	0	3
16	82	0	0.0954370475	-26.0747426	-26.1943404	-26.7927816	-26.0024852	0.598441182	0	0	0	0	0	0	3
17	87	0	0.101401863	-26.0700399	-26.1870286	-26.7927816	-26.0024852	0.605752978	0	0	0	0	0	0	3
18	91	0	0.107366678	-26.0700627	-26.1805305	-26.7927816	-26.0024852	0.612251087	0	0	0	0	0	0	3
19	96	0	0.113331494	-26.1316056	-26.1779555	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
20	100	0	0.119296309	-26.2053663	-26.1793261	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
21	104	0	0.125261125	-26.2879318	-26.1844978	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
22	109	0	0.13122594	-26.3926639	-26.1939599	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
23	113	0	0.137190756	-26.4579158	-26.2054362	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
24	117	0	0.143155571	-26.5424094	-26.2194767	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
25	121	0	0.149120387	-26.5894279	-26.2342748	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
26	126	0	0.155085202	-26.6734538	-26.2511663	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
27	130	0	0.161050018	-26.6877406	-26.2673357	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
28	135	0	0.167014833	-26.7286111	-26.2838098	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
29	139	0	0.172979649	-26.7118782	-26.2985708	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
30	143	0	0.178944464	-26.7321502	-26.3130235	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
31	148	0	0.184909279	-26.6979493	-26.3254404	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
32	152	0	0.190874095	-26.722654	-26.3378533	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
33	156	0	0.19683891	-26.6723219	-26.3479888	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
34	160	0	0.202803726	-26.6923389	-26.3581167	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
35	164	0	0.208768541	-26.6403541	-26.3661806	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
36	169	0	0.214733357	-26.6621777	-26.3744028	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
37	173	0	0.220698172	-26.582274	-26.3800209	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
38	178	0	0.226662988	-26.5988584	-26.3857798	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
39	182	0	0.232627803	-26.5089956	-26.3889392	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
40	186	0	0.238592619	-26.5406102	-26.3927309	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
41	191	0	0.244557434	-26.4657692	-26.3945124	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
42	195	0	0.25052225	-26.526911	-26.3976647	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
43	200	0	0.256487065	-26.470812	-26.3993658	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
44	205	0	0.262451881	-26.5423059	-26.4026145	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
45	209	0	0.268416696	-26.479928	-26.4043325	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
46	213	0	0.274381511	-26.5362902	-26.4072012	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
47	218	0	0.280346327	-26.461505	-26.4083566	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
48	222	0	0.286311142	-26.5085848	-26.4104447	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
49	227	0	0.292275958	-26.4229913	-26.4107007	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
50	293	0	0.298240773	-26.4566138	-26.411619	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
51	298	0	0.304205589	-26.3749072	-26.4108991	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
52	307	0	0.310170404	-26.426762	-26.4112042	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
53	312	0	0.31613522	-26.3563757	-26.4101697	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
54	317	0	0.322100035	-26.4054226	-26.4100818	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
55	321	0	0.328064851	-26.3344271	-26.4087063	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
56	326	0	0.334029666	-26.3895098	-26.4083635	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
57	331	0	0.339994482	-26.3317774	-26.4070198	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
58	335	0	0.345959297	-26.4034627	-26.4069585	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
59	340	0	0.351924113	-26.3484676	-26.4059671	-26.7927816	-26.0024852	0.614826085	0	0	0	0	0	0	3
