Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.00596481547	-1.28637704	-1.28637704	-1.28637704	-1.28637704	0	0	0	0	0	0	0	3
2	18	0	0.0119296309	-23.3567473	-12.3215622	-23.3567473	-1.28637704	11.0351851	0	0	0	0	0	0	3
3	22	0	0.0178944464	-15.2193892	-13.2875045	-23.3567473	-1.28637704	12.0011275	0	0	0	0	0	0	3
4	26	0	0.0238592619	-10.6948823	-12.639349	-23.3567473	-1.28637704	12.0011275	0	0	0	0	0	0	3
5	34	0	0.0298240773	-13.5875978	-12.8289988	-23.3567473	-1.28637704	12.0011275	0	0	0	0	0	0	3
6	39	0	0.0357888928	-10.0788956	-12.3706482	-23.3567473	-1.28637704	12.0011275	0	0	0	0	0	0	3
7	43	0	0.0417537083	-10.9581551	-12.1688635	-23.3567473	-1.28637704	12.0011275	0	0	0	0	0	0	3
8	48	0	0.0477185237	-8.79262279	-11.7468334	-23.3567473	-1.28637704	12.0011275	0	0	0	0	0	0	3
9	52	0	0.0536833392	-8.33847645	-11.3681271	-23.3567473	-1.28637704	12.0011275	0	0	0	0	0	0	3
10	56	0	0.0596481547	-7.42832826	-10.9741472	-23.3567473	-1.28637704	12.0011275	0	0	0	0	0	0	3
11	60	0	0.0656129701	-7.57377362	-10.6650223	-23.3567473	-1.28637704	12.0011275	0	0	0	0	0	0	3
12	64	0	0.0715777856	-7.45496559	-10.3975176	-23.3567473	-1.28637704	12.0011275	0	0	0	0	0	0	3
13	69	0	0.0775426011	-7.46944549	-10.1722813	-23.3567473	-1.28637704	12.0011275	0	0	0	0	0	0	3
14	73	0	0.0835074165	-7.21556974	-9.9610876	-23.3567473	-1.28637704	12.0011275	0	0	0	0	0	0	3
15	78	0	0.089472232	-7.40535799	-9.79070563	-23.3567473	-1.28637704	12.0011275	0	0	0	0	0	0	3
16	82	0	0.0954370475	-7.41695753	-9.64234637	-23.3567473	-1.28637704	12.0011275	0	0	0	0	0	0	3
