Iteration	CPUTime	PhysTime	Travels
1	12	0	0.00596481547
2	18	0	0.0119296309
3	22	0	0.0178944464
4	26	0	0.0238592619
5	34	0	0.0298240773
6	39	0	0.0357888928
7	43	0	0.0417537083
8	48	0	0.0477185237
9	52	0	0.0536833392
10	56	0	0.0596481547
11	60	0	0.0656129701
12	64	0	0.0715777856
13	69	0	0.0775426011
14	73	0	0.0835074165
15	78	0	0.089472232
16	82	0	0.0954370475
17	87	0	0.101401863
18	91	0	0.107366678
19	96	0	0.113331494
20	100	0	0.119296309
21	104	0	0.125261125
22	109	0	0.13122594
23	113	0	0.137190756
24	117	0	0.143155571
25	121	0	0.149120387
26	126	0	0.155085202
27	130	0	0.161050018
28	135	0	0.167014833
29	139	0	0.172979649
30	143	0	0.178944464
31	148	0	0.184909279
32	152	0	0.190874095
33	156	0	0.19683891
34	160	0	0.202803726
35	164	0	0.208768541
36	169	0	0.214733357
37	173	0	0.220698172
38	178	0	0.226662988
39	182	0	0.232627803
40	186	0	0.238592619
41	191	0	0.244557434
42	195	0	0.25052225
43	200	0	0.256487065
44	205	0	0.262451881
45	209	0	0.268416696
46	213	0	0.274381511
47	218	0	0.280346327
48	222	0	0.286311142
49	227	0	0.292275958
50	293	0	0.298240773
51	298	0	0.304205589
52	307	0	0.310170404
53	312	0	0.31613522
54	317	0	0.322100035
55	321	0	0.328064851
56	326	0	0.334029666
57	331	0	0.339994482
58	335	0	0.345959297
59	340	0	0.351924113
60	344	0	0.357888928
61	349	0	0.363853743
62	353	0	0.369818559
63	358	0	0.375783374
64	362	0	0.38174819
65	366	0	0.387713005
66	370	0	0.393677821
67	374	0	0.399642636
68	378	0	0.405607452
69	383	0	0.411572267
70	387	0	0.417537083
71	392	0	0.423501898
72	396	0	0.429466714
73	400	0	0.435431529
74	404	0	0.441396345
75	408	0	0.44736116
76	412	0	0.453325975
77	416	0	0.459290791
78	421	0	0.465255606
79	426	0	0.471220422
80	431	0	0.477185237
81	435	0	0.483150053
82	440	0	0.489114868
83	445	0	0.495079684
84	449	0	0.501044499
85	454	0	0.507009315
86	458	0	0.51297413
87	463	0	0.518938946
88	467	0	0.524903761
89	472	0	0.530868577
90	476	0	0.536833392
91	481	0	0.542798207
92	485	0	0.548763023
93	490	0	0.554727838
94	494	0	0.560692654
95	499	0	0.566657469
96	503	0	0.572622285
97	508	0	0.5785871
98	512	0	0.584551916
99	517	0	0.590516731
100	521	0	0.596481547
101	528	0	0.602446362
102	533	0	0.608411178
103	538	0	0.614375993
104	542	0	0.620340808
105	547	0	0.626305624
106	551	0	0.632270439
107	556	0	0.638235255
108	560	0	0.64420007
109	565	0	0.650164886
110	569	0	0.656129701
111	574	0	0.662094517
112	579	0	0.668059332
113	583	0	0.674024148
114	588	0	0.679988963
115	592	0	0.685953779
116	597	0	0.691918594
117	602	0	0.69788341
118	606	0	0.703848225
119	611	0	0.70981304
120	615	0	0.715777856
121	620	0	0.721742671
122	625	0	0.727707487
123	629	0	0.733672302
124	634	0	0.739637118
125	638	0	0.745601933
126	643	0	0.751566749
127	648	0	0.757531564
128	652	0	0.76349638
129	657	0	0.769461195
130	661	0	0.775426011
131	666	0	0.781390826
132	670	0	0.787355642
133	675	0	0.793320457
134	679	0	0.799285272
135	684	0	0.805250088
136	689	0	0.811214903
137	693	0	0.817179719
138	698	0	0.823144534
139	702	0	0.82910935
140	707	0	0.835074165
141	712	0	0.841038981
142	716	0	0.847003796
143	721	0	0.852968612
144	726	0	0.858933427
145	730	0	0.864898243
146	735	0	0.870863058
147	740	0	0.876827874
148	744	0	0.882792689
149	749	0	0.888757504
150	753	0	0.89472232
151	758	0	0.900687135
152	762	0	0.906651951
153	767	0	0.912616766
154	771	0	0.918581582
155	776	0	0.924546397
156	781	0	0.930511213
157	785	0	0.936476028
158	790	0	0.942440844
159	795	0	0.948405659
160	799	0	0.954370475
161	804	0	0.96033529
162	809	0	0.966300106
163	813	0	0.972264921
164	818	0	0.978229736
165	822	0	0.984194552
166	827	0	0.990159367
167	831	0	0.996124183
168	836	0	1.002089
169	841	0	1.00805381
170	846	0	1.01401863
171	850	0	1.01998344
172	855	0	1.02594826
173	859	0	1.03191308
174	864	0	1.03787789
175	869	0	1.04384271
176	873	0	1.04980752
177	878	0	1.05577234
178	883	0	1.06173715
179	888	0	1.06770197
180	892	0	1.07366678
181	897	0	1.0796316
182	901	0	1.08559641
183	906	0	1.09156123
184	911	0	1.09752605
185	915	0	1.10349086
186	920	0	1.10945568
187	925	0	1.11542049
188	929	0	1.12138531
189	934	0	1.12735012
190	939	0	1.13331494
191	944	0	1.13927975
192	948	0	1.14524457
193	953	0	1.15120938
194	957	0	1.1571742
195	962	0	1.16313902
196	967	0	1.16910383
197	971	0	1.17506865
198	976	0	1.18103346
199	980	0	1.18699828
200	985	0	1.19296309
201	991	0	1.19892791
