Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.00929736107	0	0	0	0	0	0	0	0	0	0	0	3
2	5	0	0.0185947221	0	0	0	0	0	0	0	0	0	0	0	3
3	7	0	0.0278920832	0	0	0	0	0	0	0	0	0	0	0	3
4	8	0	0.0371894443	0	0	0	0	0	0	0	0	0	0	0	3
5	10	0	0.0464868054	0	0	0	0	0	0	0	0	0	0	0	3
6	11	0	0.0557841664	0	0	0	0	0	0	0	0	0	0	0	3
7	12	0	0.0650815275	0	0	0	0	0	0	0	0	0	0	0	3
8	14	0	0.0743788886	0	0	0	0	0	0	0	0	0	0	0	3
9	15	0	0.0836762496	0	0	0	0	0	0	0	0	0	0	0	3
10	16	0	0.0929736107	0	0	0	0	0	0	0	0	0	0	0	3
11	18	0	0.102270972	0	0	0	0	0	0	0	0	0	0	0	3
12	19	0	0.111568333	0	0	0	0	0	0	0	0	0	0	0	3
13	20	0	0.120865694	0	0	0	0	0	0	0	0	0	0	0	3
14	22	0	0.130163055	0	0	0	0	0	0	0	0	0	0	0	3
15	23	0	0.139460416	0	0	0	0	0	0	0	0	0	0	0	3
16	25	0	0.148757777	0	0	0	0	0	0	0	0	0	0	0	3
17	26	0	0.158055138	0	0	0	0	0	0	0	0	0	0	0	3
18	27	0	0.167352499	0	0	0	0	0	0	0	0	0	0	0	3
19	29	0	0.17664986	0	0	0	0	0	0	0	0	0	0	0	3
20	30	0	0.185947221	0	0	0	0	0	0	0	0	0	0	0	3
21	31	0	0.195244582	0	0	0	0	0	0	0	0	0	0	0	3
22	33	0	0.204541944	0	0	0	0	0	0	0	0	0	0	0	3
23	34	0	0.213839305	0	0	0	0	0	0	0	0	0	0	0	3
24	35	0	0.223136666	0	0	0	0	0	0	0	0	0	0	0	3
25	37	0	0.232434027	0	0	0	0	0	0	0	0	0	0	0	3
26	38	0	0.241731388	0	0	0	0	0	0	0	0	0	0	0	3
27	40	0	0.251028749	0	0	0	0	0	0	0	0	0	0	0	3
28	41	0	0.26032611	0	0	0	0	0	0	0	0	0	0	0	3
29	43	0	0.269623471	0	0	0	0	0	0	0	0	0	0	0	3
30	44	0	0.278920832	0	0	0	0	0	0	0	0	0	0	0	3
31	46	0	0.288218193	0	0	0	0	0	0	0	0	0	0	0	3
32	47	0	0.297515554	0	0	0	0	0	0	0	0	0	0	0	3
33	49	0	0.306812915	0	0	0	0	0	0	0	0	0	0	0	3
34	50	0	0.316110276	0	0	0	0	0	0	0	0	0	0	0	3
35	51	0	0.325407637	0	0	0	0	0	0	0	0	0	0	0	3
36	53	0	0.334704999	0	0	0	0	0	0	0	0	0	0	0	3
37	54	0	0.34400236	0	0	0	0	0	0	0	0	0	0	0	3
38	56	0	0.353299721	0	0	0	0	0	0	0	0	0	0	0	3
39	57	0	0.362597082	0	0	0	0	0	0	0	0	0	0	0	3
40	59	0	0.371894443	0	0	0	0	0	0	0	0	0	0	0	3
41	60	0	0.381191804	0	0	0	0	0	0	0	0	0	0	0	3
42	62	0	0.390489165	0	0	0	0	0	0	0	0	0	0	0	3
43	63	0	0.399786526	0	0	0	0	0	0	0	0	0	0	0	3
44	64	0	0.409083887	0	0	0	0	0	0	0	0	0	0	0	3
45	66	0	0.418381248	0	0	0	0	0	0	0	0	0	0	0	3
46	68	0	0.427678609	0	0	0	0	0	0	0	0	0	0	0	3
47	69	0	0.43697597	0	0	0	0	0	0	0	0	0	0	0	3
48	70	0	0.446273331	0	0	0	0	0	0	0	0	0	0	0	3
49	72	0	0.455570692	0	0	0	0	0	0	0	0	0	0	0	3
50	73	0	0.464868054	0	0	0	0	0	0	0	0	0	0	0	3
51	75	0	0.474165415	0	0	0	0	0	0	0	0	0	0	0	3
52	77	0	0.483462776	0	0	0	0	0	0	0	0	0	0	0	3
53	78	0	0.492760137	0	0	0	0	0	0	0	0	0	0	0	3
54	79	0	0.502057498	0	0	0	0	0	0	0	0	0	0	0	3
55	81	0	0.511354859	0	0	0	0	0	0	0	0	0	0	0	3
56	82	0	0.52065222	0	0	0	0	0	0	0	0	0	0	0	3
57	84	0	0.529949581	0	0	0	0	0	0	0	0	0	0	0	3
58	85	0	0.539246942	0	0	0	0	0	0	0	0	0	0	0	3
59	87	0	0.548544303	0	0	0	0	0	0	0	0	0	0	0	3
60	88	0	0.557841664	0	0	0	0	0	0	0	0	0	0	0	3
61	90	0	0.567139025	0	0	0	0	0	0	0	0	0	0	0	3
62	91	0	0.576436386	0	0	0	0	0	0	0	0	0	0	0	3
63	93	0	0.585733747	0	0	0	0	0	0	0	0	0	0	0	3
64	94	0	0.595031109	0	0	0	0	0	0	0	0	0	0	0	3
65	96	0	0.60432847	0	0	0	0	0	0	0	0	0	0	0	3
66	97	0	0.613625831	0	0	0	0	0	0	0	0	0	0	0	3
67	99	0	0.622923192	0	0	0	0	0	0	0	0	0	0	0	3
68	100	0	0.632220553	0	0	0	0	0	0	0	0	0	0	0	3
69	102	0	0.641517914	0	0	0	0	0	0	0	0	0	0	0	3
70	103	0	0.650815275	0	0	0	0	0	0	0	0	0	0	0	3
71	105	0	0.660112636	0	0	0	0	0	0	0	0	0	0	0	3
72	107	0	0.669409997	0	0	0	0	0	0	0	0	0	0	0	3
73	108	0	0.678707358	0	0	0	0	0	0	0	0	0	0	0	3
74	110	0	0.688004719	0	0	0	0	0	0	0	0	0	0	0	3
75	111	0	0.69730208	0	0	0	0	0	0	0	0	0	0	0	3
76	113	0	0.706599441	0	0	0	0	0	0	0	0	0	0	0	3
77	114	0	0.715896802	0	0	0	0	0	0	0	0	0	0	0	3
78	116	0	0.725194164	0	0	0	0	0	0	0	0	0	0	0	3
79	118	0	0.734491525	0	0	0	0	0	0	0	0	0	0	0	3
80	119	0	0.743788886	0	0	0	0	0	0	0	0	0	0	0	3
81	120	0	0.753086247	0	0	0	0	0	0	0	0	0	0	0	3
82	122	0	0.762383608	0	0	0	0	0	0	0	0	0	0	0	3
83	124	0	0.771680969	0	0	0	0	0	0	0	0	0	0	0	3
84	126	0	0.78097833	0	0	0	0	0	0	0	0	0	0	0	3
85	127	0	0.790275691	0	0	0	0	0	0	0	0	0	0	0	3
86	128	0	0.799573052	0	0	0	0	0	0	0	0	0	0	0	3
87	130	0	0.808870413	0	0	0	0	0	0	0	0	0	0	0	3
88	131	0	0.818167774	0	0	0	0	0	0	0	0	0	0	0	3
89	133	0	0.827465135	0	0	0	0	0	0	0	0	0	0	0	3
90	134	0	0.836762496	0	0	0	0	0	0	0	0	0	0	0	3
91	136	0	0.846059857	0	0	0	0	0	0	0	0	0	0	0	3
92	137	0	0.855357219	0	0	0	0	0	0	0	0	0	0	0	3
93	138	0	0.86465458	0	0	0	0	0	0	0	0	0	0	0	3
94	140	0	0.873951941	0	0	0	0	0	0	0	0	0	0	0	3
95	141	0	0.883249302	0	0	0	0	0	0	0	0	0	0	0	3
96	142	0	0.892546663	0	0	0	0	0	0	0	0	0	0	0	3
97	144	0	0.901844024	0	0	0	0	0	0	0	0	0	0	0	3
98	145	0	0.911141385	0	0	0	0	0	0	0	0	0	0	0	3
99	147	0	0.920438746	0	0	0	0	0	0	0	0	0	0	0	3
100	148	0	0.929736107	0	0	0	0	0	0	0	0	0	0	0	3
101	151	0	0.939033468	0	0	0	0	0	0	0	0	0	0	0	3
102	152	0	0.948330829	0	0	0	0	0	0	0	0	0	0	0	3
103	154	0	0.95762819	0	0	0	0	0	0	0	0	0	0	0	3
104	155	0	0.966925551	0	0	0	0	0	0	0	0	0	0	0	3
105	157	0	0.976222912	0	0	0	0	0	0	0	0	0	0	0	3
106	158	0	0.985520273	0	0	0	0	0	0	0	0	0	0	0	3
107	160	0	0.994817635	0	0	0	0	0	0	0	0	0	0	0	3
108	162	0	1.004115	0	0	0	0	0	5e-06	0	100	0	0	0	3
109	163	0	1.01341236	0	0	0	0	0	5e-06	0	100	0	0	0	3
110	165	0	1.02270972	0	0	0	0	0	5e-06	0	100	0	0	0	3
111	166	0	1.03200708	0	0	0	0	0	5e-06	0	100	0	0	0	3
112	168	0	1.04130444	0	0	0	0	0	5e-06	0	100	0	0	0	3
113	169	0	1.0506018	0	0	0	0	0	5e-06	0	100	0	0	0	3
114	171	0	1.05989916	0	0	0	0	0	5e-06	0	100	0	0	0	3
115	172	0	1.06919652	0	0	0	0	0	5e-06	0	100	0	0	0	3
116	174	0	1.07849388	0	0	0	0	0	5e-06	0	100	0	0	0	3
117	175	0	1.08779125	0	0	0	0	0	5e-06	0	100	0	0	0	3
