Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.00929736107	101324.795	101324.795	101324.795	101324.795	0	0	0	0	11155.3	0	0	3
2	5	0	0.0185947221	101324.749	101324.772	101324.749	101324.795	0.0229553724	0	0	0	8256.84	0	0	3
3	7	0	0.0278920832	101324.83	101324.791	101324.749	101324.83	0.0229553724	0	0	0	6493.93	0	0	3
4	8	0	0.0371894443	101324.847	101324.805	101324.749	101324.847	0.0331211762	0	0	0	5464.64	0	0	3
5	10	0	0.0464868054	101324.801	101324.804	101324.749	101324.847	0.0331211762	0	0	0	4176.38	0	0	3
6	11	0	0.0557841664	101324.859	101324.813	101324.749	101324.859	0.0414416805	0	0	0	3788.1	0	0	3
7	12	0	0.0650815275	101324.861	101324.82	101324.749	101324.861	0.0482541225	0	0	0	3305.93	0	0	3
8	14	0	0.0743788886	101324.901	101324.83	101324.749	101324.901	0.0583338223	0	0	0	2985.45	0	0	3
9	15	0	0.0836762496	101324.895	101324.837	101324.749	101324.901	0.065491317	0	0	0	2612.8	0	0	3
10	16	0	0.0929736107	101324.893	101324.843	101324.749	101324.901	0.0710172569	0	0	0	2555.79	0	0	3
11	18	0	0.102270972	101324.891	101324.847	101324.749	101324.901	0.075377633	0	0	0	2467.72	0	0	3
12	19	0	0.111568333	101324.894	101324.851	101324.749	101324.901	0.0792237256	0	0	0	2371.75	0	0	3
13	20	0	0.120865694	101324.874	101324.853	101324.749	101324.901	0.0809999942	0	0	0	2316.53	0	0	3
14	22	0	0.130163055	101324.877	101324.855	101324.749	101324.901	0.082680753	0	0	0	2216.71	0	0	3
15	23	0	0.139460416	101324.873	101324.856	101324.749	101324.901	0.0838685336	0	0	0	2168.38	0	0	3
16	25	0	0.148757777	101324.876	101324.857	101324.749	101324.901	0.0851041183	0	0	0	2124.43	0	0	3
17	26	0	0.158055138	101324.869	101324.858	101324.749	101324.901	0.0857969445	0	0	0	2090.14	0	0	3
18	27	0	0.167352499	101324.868	101324.858	101324.749	101324.901	0.0863380401	0	0	0	2031.86	0	0	3
19	29	0	0.17664986	101324.86	101324.858	101324.749	101324.901	0.0864049386	0	0	0	1988.25	0	0	3
20	30	0	0.185947221	101324.867	101324.859	101324.749	101324.901	0.0868556042	0	0	0	1904.07	0	0	3
21	31	0	0.195244582	101324.86	101324.859	101324.749	101324.901	0.0868992591	0	0	0	1863.1	0	0	3
22	33	0	0.204541944	101324.861	101324.859	101324.749	101324.901	0.0869897584	0	0	0	1784.1	0	0	3
23	34	0	0.213839305	101324.859	101324.859	101324.749	101324.901	0.0869897584	0	0	0	1723.51	0	0	3
24	35	0	0.223136666	101324.859	101324.859	101324.749	101324.901	0.0869897584	0	0	0	1630.02	0	0	3
25	37	0	0.232434027	101324.859	101324.859	101324.749	101324.901	0.0869897584	0	0	0	1551.84	0	0	3
26	38	0	0.241731388	101324.862	101324.859	101324.749	101324.901	0.0871196712	0	0	0	1464.18	0	0	3
27	40	0	0.251028749	101324.861	101324.859	101324.749	101324.901	0.0871862551	0	0	0	1248.56	0	0	3
