Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.00929736107	293.200116	293.200116	293.200116	293.200116	0	0	0	0	1.05364	0	0	3
2	5	0	0.0185947221	293.200145	293.200131	293.200116	293.200145	1.43823933e-05	0	0	0	1.04489	0	0	3
3	7	0	0.0278920832	293.200169	293.200144	293.200116	293.200169	2.72204619e-05	0	0	0	0.835967	0	0	3
4	8	0	0.0371894443	293.200187	293.200154	293.200116	293.200187	3.80770605e-05	0	0	0	0.614706	0	0	3
5	10	0	0.0464868054	293.200205	293.200164	293.200116	293.200205	4.81186937e-05	0	0	0	0.513253	0	0	3
6	11	0	0.0557841664	293.200233	293.200176	293.200116	293.200233	5.94677072e-05	0	0	0	0.478235	0	0	3
7	12	0	0.0650815275	293.200267	293.200189	293.200116	293.200267	7.24424248e-05	0	0	0	0.420721	0	0	3
8	14	0	0.0743788886	293.200303	293.200203	293.200116	293.200303	8.67029526e-05	0	0	0	0.436673	0	0	3
9	15	0	0.0836762496	293.200338	293.200218	293.200116	293.200338	0.00010167083	0	0	0	0.450907	0	0	3
10	16	0	0.0929736107	293.200371	293.200233	293.200116	293.200371	0.000116965011	0	0	0	0.43855	0	0	3
11	18	0	0.102270972	293.200422	293.20025	293.200116	293.200422	0.000134103283	0	0	0	0.421326	0	0	3
12	19	0	0.111568333	293.200471	293.200269	293.200116	293.200471	0.000152502985	0	0	0	0.416389	0	0	3
13	20	0	0.120865694	293.200524	293.200288	293.200116	293.200524	0.000172111529	0	0	0	0.406873	0	0	3
14	22	0	0.130163055	293.200575	293.200309	293.200116	293.200575	0.000192580258	0	0	0	0.400069	0	0	3
15	23	0	0.139460416	293.200626	293.20033	293.200116	293.200626	0.000213734883	0	0	0	0.393088	0	0	3
16	25	0	0.148757777	293.200701	293.200353	293.200116	293.200701	0.000236944694	0	0	0	0.390351	0	0	3
17	26	0	0.158055138	293.200777	293.200378	293.200116	293.200777	0.000261862786	0	0	0	0.39203	0	0	3
18	27	0	0.167352499	293.200851	293.200404	293.200116	293.200851	0.000288101468	0	0	0	0.402711	0	0	3
19	29	0	0.17664986	293.200923	293.200432	293.200116	293.200923	0.000315394947	0	0	0	0.404444	0	0	3
20	30	0	0.185947221	293.200994	293.20046	293.200116	293.200994	0.000343522479	0	0	0	0.404395	0	0	3
21	31	0	0.195244582	293.201099	293.20049	293.200116	293.201099	0.000373942078	0	0	0	0.406014	0	0	3
22	33	0	0.204541944	293.2012	293.200523	293.200116	293.2012	0.000406199826	0	0	0	0.415514	0	0	3
23	34	0	0.213839305	293.201299	293.200556	293.200116	293.201299	0.000439952022	0	0	0	0.412836	0	0	3
24	35	0	0.223136666	293.201396	293.200591	293.200116	293.201396	0.000474920813	0	0	0	0.41409	0	0	3
25	37	0	0.232434027	293.201489	293.200627	293.200116	293.201489	0.000510819506	0	0	0	0.412208	0	0	3
26	38	0	0.241731388	293.201622	293.200665	293.200116	293.201622	0.000549062602	0	0	0	0.413688	0	0	3
27	40	0	0.251028749	293.201747	293.200706	293.200116	293.201747	0.00058913022	0	0	0	0.412736	0	0	3
28	41	0	0.26032611	293.201866	293.200747	293.200116	293.201866	0.000630564736	0	0	0	0.409786	0	0	3
29	43	0	0.269623471	293.201977	293.200789	293.200116	293.201977	0.000672965051	0	0	0	0.411283	0	0	3
30	44	0	0.278920832	293.202079	293.200832	293.200116	293.202079	0.000715942796	0	0	0	0.407609	0	0	3
31	46	0	0.288218193	293.202208	293.200877	293.200116	293.202208	0.000760319304	0	0	0	0.409891	0	0	3
32	47	0	0.297515554	293.202321	293.200922	293.200116	293.202321	0.000805446943	0	0	0	0.405526	0	0	3
33	49	0	0.306812915	293.202419	293.200967	293.200116	293.202419	0.000850820577	0	0	0	0.44904	0	0	3
34	50	0	0.316110276	293.202504	293.201012	293.200116	293.202504	0.000896024291	0	0	0	0.401592	0	0	3
35	51	0	0.325407637	293.202577	293.201057	293.200116	293.202577	0.000940723176	0	0	0	0.445455	0	0	3
36	53	0	0.334704999	293.20266	293.201102	293.200116	293.20266	0.000985261316	0	0	0	0.399123	0	0	3
37	54	0	0.34400236	293.202729	293.201146	293.200116	293.202729	0.00102925162	0	0	0	0.410956	0	0	3
38	56	0	0.353299721	293.202784	293.201189	293.200116	293.202784	0.00107237357	0	0	0	0.392423	0	0	3
39	57	0	0.362597082	293.20283	293.201231	293.200116	293.20283	0.00111444531	0	0	0	0.416612	0	0	3
40	59	0	0.371894443	293.202864	293.201272	293.200116	293.202864	0.00115526997	0	0	0	0.387699	0	0	3
