Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	23	0	0.00582064765	4.77527483	4.77527483	4.77527483	4.77527483	0	0	0	0	0	0	0	3
2	32	0	0.0116412953	-6.88526309	-1.05499413	-6.88526309	4.77527483	5.83026896	0	0	0	0	0	0	3
3	42	0	0.017461943	1.23764516	-0.290781034	-6.88526309	4.77527483	5.83026896	0	0	0	0	0	0	3
4	51	0	0.0232825906	3.87384955	0.750376612	-6.88526309	4.77527483	5.83026896	0	0	0	0	0	0	3
5	59	0	0.0291032383	3.67477804	1.3352569	-6.88526309	4.77527483	5.83026896	0	0	0	0	0	0	3
6	68	0	0.0349238859	5.06074836	1.95617214	-6.88526309	5.06074836	5.83026896	0	0	0	0	0	0	3
7	76	0	0.0407445336	5.5649713	2.47171488	-6.88526309	5.5649713	5.83026896	0	0	0	0	0	0	3
8	84	0	0.0465651812	6.96892731	3.03386643	-6.88526309	6.96892731	5.83026896	0	0	0	0	0	0	3
9	93	0	0.0523858289	7.05438386	3.48059059	-6.88526309	7.05438386	5.83026896	0	0	0	0	0	0	3
10	101	0	0.0582064765	6.40672613	3.77320415	-6.88526309	7.05438386	5.83026896	0	0	0	0	0	0	3
11	109	0	0.0640271242	6.34886255	4.00735491	-6.88526309	7.05438386	5.83026896	0	0	0	0	0	0	3
12	117	0	0.0698477719	6.76600897	4.23724275	-6.88526309	7.05438386	5.83026896	0	0	0	0	0	0	3
13	125	0	0.0756684195	7.24392993	4.46852638	-6.88526309	7.24392993	5.83026896	0	0	0	0	0	0	3
14	133	0	0.0814890672	7.55543164	4.68901961	-6.88526309	7.55543164	5.83026896	0	0	0	0	0	0	3
15	142	0	0.0873097148	7.70154424	4.88985459	-6.88526309	7.70154424	5.94484872	0	0	0	0	0	0	3
16	150	0	0.0931303625	7.57794118	5.05786	-6.88526309	7.70154424	6.11285413	0	0	0	0	0	0	3
17	158	0	0.0989510101	7.68753704	5.21254688	-6.88526309	7.70154424	6.26754101	0	0	0	0	0	0	3
18	166	0	0.104771658	7.73631977	5.35275649	-6.88526309	7.73631977	6.40775062	0	0	0	0	0	0	3
19	174	0	0.110592305	7.5976751	5.4709101	-6.88526309	7.73631977	6.52590423	0	0	0	0	0	0	3
20	182	0	0.116412953	7.62521134	5.57862516	-6.88526309	7.73631977	6.63361929	0	0	0	0	0	0	3
21	190	0	0.122233601	7.76712807	5.68283958	-6.88526309	7.76712807	6.73783372	0	0	0	0	0	0	3
22	198	0	0.128054248	7.80549003	5.7793237	-6.88526309	7.80549003	6.83431783	0	0	0	0	0	0	3
23	207	0	0.133874896	7.87699748	5.8705269	-6.88526309	7.87699748	6.92552103	0	0	0	0	0	0	3
24	215	0	0.139695544	8.00714031	5.95955246	-6.88526309	8.00714031	7.01454659	0	0	0	0	0	0	3
25	223	0	0.145516191	8.02711131	6.04225482	-6.88526309	8.02711131	7.09724895	0	0	0	0	0	0	3
26	231	0	0.151336839	8.12650034	6.12241811	-6.88526309	8.12650034	7.17741224	0	0	0	0	0	0	3
27	239	0	0.157157487	8.37343047	6.20578893	-6.88526309	8.37343047	7.26078307	0	0	0	0	0	0	3
28	248	0	0.162978134	8.58031229	6.29059334	-6.88526309	8.58031229	7.34558747	0	0	0	0	0	0	3
29	258	0	0.168798782	8.78687887	6.37667215	-6.88526309	8.78687887	7.43166628	0	0	0	0	0	0	3
30	268	0	0.17461943	9.03302235	6.46521716	-6.88526309	9.03302235	7.52021129	0	0	0	0	0	0	3
31	278	0	0.180440077	9.21501767	6.5539204	-6.88526309	9.21501767	7.60891453	0	0	0	0	0	0	3
32	288	0	0.186260725	9.38656708	6.64244061	-6.88526309	9.38656708	7.69743474	0	0	0	0	0	0	3
33	300	0	0.192081373	9.57446056	6.7312897	-6.88526309	9.57446056	7.78628383	0	0	0	0	0	0	3
34	310	0	0.19790202	9.80548905	6.82170733	-6.88526309	9.80548905	7.87670146	0	0	0	0	0	0	3
35	320	0	0.203722668	10.055004	6.91408723	-6.88526309	10.055004	7.96908136	0	0	0	0	0	0	3
36	330	0	0.209543316	10.3476269	7.00946333	-6.88526309	10.3476269	8.06445746	0	0	0	0	0	0	3
37	340	0	0.215363963	10.7837483	7.11147104	-6.88526309	10.7837483	8.16646517	0	0	0	0	0	0	3
38	349	0	0.221184611	11.1763004	7.21844023	-6.88526309	11.1763004	8.27343436	0	0	0	0	0	0	3
39	359	0	0.227005259	11.5763925	7.3301826	-6.88526309	11.5763925	8.38517673	0	0	0	0	0	0	3
40	368	0	0.232825906	11.8020389	7.441979	-6.88526309	11.8020389	8.49697314	0	0	0	0	0	0	3
41	378	0	0.238646554	11.9894273	7.55289238	-6.88526309	11.9894273	8.60788651	0	0	0	0	0	0	3
42	386	0	0.244467201	12.2243963	7.66411866	-6.88526309	12.2243963	8.71911279	0	0	0	0	0	0	3
43	395	0	0.250287849	12.4898542	7.77634507	-6.88526309	12.4898542	8.8313392	0	0	0	0	0	0	3
44	406	0	0.256108497	12.696467	7.88816602	-6.88526309	12.696467	8.94316015	0	0	0	0	0	0	3
45	416	0	0.261929144	12.8321531	7.9980324	-6.88526309	12.8321531	9.05302653	0	0	0	0	0	0	3
46	428	0	0.267749792	12.8705752	8.10395724	-6.88526309	12.8705752	9.15895137	0	0	0	0	0	0	3
47	439	0	0.27357044	12.82669	8.20444092	-6.88526309	12.8705752	9.25943505	0	0	0	0	0	0	3
48	451	0	0.279391087	12.6884306	8.29785737	-6.88526309	12.8705752	9.3528515	0	0	0	0	0	0	3
49	462	0	0.285211735	12.5106912	8.38383357	-6.88526309	12.8705752	9.4388277	0	0	0	0	0	0	3
50	472	0	0.291032383	12.3345652	8.4628482	-6.88526309	12.8705752	9.51784233	0	0	0	0	0	0	3
51	482	0	0.29685303	12.2188023	8.53649436	-6.88526309	12.8705752	9.59148849	0	0	0	0	0	0	3
52	493	0	0.302673678	12.2106021	8.60715028	-6.88526309	12.8705752	9.66214441	0	0	0	0	0	0	3
53	503	0	0.308494326	12.2541557	8.6759617	-6.88526309	12.8705752	9.73095584	0	0	0	0	0	0	3
