Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	23	0	0.00582064765	24.1539022	24.1539022	24.1539022	24.1539022	0	0	0	0	24.1539	0	0	3
2	32	0	0.0116412953	23.6294439	23.891673	23.6294439	24.1539022	0.262229143	0	0	0	23.6294	0	0	3
3	42	0	0.017461943	24.0191297	23.9341586	23.6294439	24.1539022	0.262229143	0	0	0	24.0191	0	0	3
4	51	0	0.0232825906	23.6887097	23.8727964	23.6294439	24.1539022	0.281105792	0	0	0	23.6887	0	0	3
5	59	0	0.0291032383	23.7881471	23.8558665	23.6294439	24.1539022	0.298035639	0	0	0	23.7881	0	0	3
6	68	0	0.0349238859	23.6231312	23.8170773	23.6231312	24.1539022	0.336824856	0	0	0	23.6231	0	0	3
7	76	0	0.0407445336	23.6416087	23.7920104	23.6231312	24.1539022	0.361891799	0	0	0	23.6416	0	0	3
8	84	0	0.0465651812	23.8709569	23.8018787	23.6231312	24.1539022	0.361891799	0	0	0	23.871	0	0	3
9	93	0	0.0523858289	23.5765775	23.7768452	23.5765775	24.1539022	0.377056948	0	0	0	23.5766	0	0	3
10	101	0	0.0582064765	23.1290205	23.7120627	23.1290205	24.1539022	0.441839422	0	0	0	23.129	0	0	3
11	109	0	0.0640271242	23.1867151	23.6643039	23.1290205	24.1539022	0.489598299	0	0	0	23.1867	0	0	3
12	117	0	0.0698477719	23.2588197	23.6305135	23.1290205	24.1539022	0.523388643	0	0	0	23.2588	0	0	3
13	125	0	0.0756684195	23.3085337	23.6057458	23.1290205	24.1539022	0.548156318	0	0	0	23.3085	0	0	3
14	133	0	0.0814890672	23.5722012	23.6033498	23.1290205	24.1539022	0.550552366	0	0	0	23.5722	0	0	3
15	142	0	0.0873097148	23.5628505	23.6006498	23.1290205	24.1539022	0.55325232	0	0	0	23.5629	0	0	3
16	150	0	0.0931303625	23.4019578	23.5882316	23.1290205	24.1539022	0.565670574	0	0	0	23.402	0	0	3
17	158	0	0.0989510101	23.206676	23.5657871	23.1290205	24.1539022	0.588115019	0	0	0	23.2067	0	0	3
18	166	0	0.104771658	23.0652709	23.5379807	23.0652709	24.1539022	0.615921474	0	0	0	23.0653	0	0	3
