Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	23	0	0.00582064765	97167.8467	97167.8467	97167.8467	97167.8467	0	0	0	0	8364.57	0	0	3
2	32	0	0.0116412953	100346.853	98757.3498	97167.8467	100346.853	1589.50304	0	0	0	2031.55	0	0	3
3	42	0	0.017461943	100470.539	99328.4127	97167.8467	100470.539	2160.56598	0	0	0	1582.07	0	0	3
4	51	0	0.0232825906	100584.017	99642.3137	97167.8467	100584.017	2474.46699	0	0	0	1312.79	0	0	3
5	59	0	0.0291032383	100688.059	99851.4628	97167.8467	100688.059	2683.61605	0	0	0	1159.5	0	0	3
6	68	0	0.0349238859	100773.758	100005.179	97167.8467	100773.758	2837.33188	0	0	0	1065.84	0	0	3
7	76	0	0.0407445336	100838.963	100124.291	97167.8467	100838.963	2956.44394	0	0	0	976.406	0	0	3
8	84	0	0.0465651812	100944.18	100226.777	97167.8467	100944.18	3058.93005	0	0	0	843.962	0	0	3
9	93	0	0.0523858289	101030.423	100316.071	97167.8467	101030.423	3148.22409	0	0	0	740.21	0	0	3
10	101	0	0.0582064765	101013.454	100385.809	97167.8467	101030.423	3217.96238	0	0	0	758.928	0	0	3
11	109	0	0.0640271242	101002.535	100441.875	97167.8467	101030.423	3274.02842	0	0	0	770.87	0	0	3
12	117	0	0.0698477719	101013.007	100489.469	97167.8467	101030.423	3321.62273	0	0	0	759.99	0	0	3
13	125	0	0.0756684195	101037.263	100531.607	97167.8467	101037.263	3363.7607	0	0	0	735.153	0	0	3
14	133	0	0.0814890672	101059.686	100569.327	97167.8467	101059.686	3401.48057	0	0	0	711.373	0	0	3
15	142	0	0.0873097148	101069.215	100602.653	97167.8467	101069.215	3434.80641	0	0	0	701.614	0	0	3
16	150	0	0.0931303625	101073.127	100632.058	97167.8467	101073.127	3464.211	0	0	0	696.023	0	0	3
17	158	0	0.0989510101	101076.579	100658.206	97167.8467	101076.579	3490.35933	0	0	0	690.293	0	0	3
18	166	0	0.104771658	101079.924	100681.635	97167.8467	101079.924	3513.78813	0	0	0	684.583	0	0	3
19	174	0	0.110592305	101084.279	100702.827	97167.8467	101084.279	3534.9799	0	0	0	679.06	0	0	3
20	182	0	0.116412953	101087.465	100722.059	97167.8467	101087.465	3554.21181	0	0	0	674.571	0	0	3
21	190	0	0.122233601	101090.464	100739.602	97167.8467	101090.464	3571.75494	0	0	0	669.287	0	0	3
