Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	23	0	0.00582064765	0	0	0	0	0	0	0	0	24.1539	0	0	3
2	32	0	0.0116412953	0	0	0	0	0	0	0	0	23.6294	0	0	3
3	42	0	0.017461943	0	0	0	0	0	0	0	0	24.0191	0	0	3
4	51	0	0.0232825906	0	0	0	0	0	0	0	0	23.6887	0	0	3
5	59	0	0.0291032383	0	0	0	0	0	0	0	0	23.7881	0	0	3
6	68	0	0.0349238859	0	0	0	0	0	0	0	0	23.6231	0	0	3
7	76	0	0.0407445336	0	0	0	0	0	0	0	0	23.6416	0	0	3
8	84	0	0.0465651812	0	0	0	0	0	0	0	0	23.871	0	0	3
9	93	0	0.0523858289	0	0	0	0	0	0	0	0	23.5766	0	0	3
10	101	0	0.0582064765	0	0	0	0	0	0	0	0	23.129	0	0	3
11	109	0	0.0640271242	0	0	0	0	0	0	0	0	23.1867	0	0	3
12	117	0	0.0698477719	0	0	0	0	0	0	0	0	23.2588	0	0	3
13	125	0	0.0756684195	0	0	0	0	0	0	0	0	23.3085	0	0	3
14	133	0	0.0814890672	0	0	0	0	0	0	0	0	23.5722	0	0	3
15	142	0	0.0873097148	0	0	0	0	0	0	0	0	23.5629	0	0	3
16	150	0	0.0931303625	0	0	0	0	0	0	0	0	23.402	0	0	3
17	158	0	0.0989510101	0	0	0	0	0	0	0	0	23.2067	0	0	3
18	166	0	0.104771658	0	0	0	0	0	0	0	0	23.0653	0	0	3
19	174	0	0.110592305	0	0	0	0	0	0	0	0	23.0815	0	0	3
20	182	0	0.116412953	0	0	0	0	0	0	0	0	23.1003	0	0	3
21	190	0	0.122233601	0	0	0	0	0	0	0	0	23.1295	0	0	3
22	198	0	0.128054248	0	0	0	0	0	0	0	0	23.1607	0	0	3
23	207	0	0.133874896	0	0	0	0	0	0	0	0	23.1961	0	0	3
24	215	0	0.139695544	0	0	0	0	0	0	0	0	23.237	0	0	3
25	223	0	0.145516191	0	0	0	0	0	0	0	0	23.2764	0	0	3
26	231	0	0.151336839	0	0	0	0	0	0	0	0	23.3483	0	0	3
27	239	0	0.157157487	0	0	0	0	0	0	0	0	23.4307	0	0	3
28	248	0	0.162978134	0	0	0	0	0	0	0	0	23.5101	0	0	3
29	258	0	0.168798782	0	0	0	0	0	0	0	0	23.5896	0	0	3
30	268	0	0.17461943	0	0	0	0	0	0	0	0	23.6672	0	0	3
31	278	0	0.180440077	0	0	0	0	0	0	0	0	23.77	0	0	3
32	288	0	0.186260725	0	0	0	0	0	0	0	0	23.861	0	0	3
33	300	0	0.192081373	0	0	0	0	0	0	0	0	23.9249	0	0	3
34	310	0	0.19790202	0	0	0	0	0	0	0	0	23.9758	0	0	3
35	320	0	0.203722668	0	0	0	0	0	0	0	0	24.0182	0	0	3
36	330	0	0.209543316	0	0	0	0	0	0	0	0	24.0879	0	0	3
37	340	0	0.215363963	0	0	0	0	0	0	0	0	24.1615	0	0	3
38	349	0	0.221184611	0	0	0	0	0	0	0	0	24.2217	0	0	3
39	359	0	0.227005259	0	0	0	0	0	0	0	0	24.2798	0	0	3
40	368	0	0.232825906	0	0	0	0	0	0	0	0	24.2831	0	0	3
41	378	0	0.238646554	0	0	0	0	0	0	0	0	24.3273	0	0	3
42	386	0	0.244467201	0	0	0	0	0	0	0	0	24.3801	0	0	3
43	395	0	0.250287849	0	0	0	0	0	0	0	0	24.4287	0	0	3
44	406	0	0.256108497	0	0	0	0	0	0	0	0	24.465	0	0	3
45	416	0	0.261929144	0	0	0	0	0	0	0	0	24.49	0	0	3
46	428	0	0.267749792	0	0	0	0	0	0	0	0	24.4877	0	0	3
47	439	0	0.27357044	0	0	0	0	0	0	0	0	24.4433	0	0	3
48	451	0	0.279391087	0	0	0	0	0	0	0	0	24.3808	0	0	3
49	462	0	0.285211735	0	0	0	0	0	0	0	0	24.3419	0	0	3
50	472	0	0.291032383	0	0	0	0	0	0	0	0	24.3393	0	0	3
51	482	0	0.29685303	0	0	0	0	0	0	0	0	24.3402	0	0	3
52	493	0	0.302673678	0	0	0	0	0	0	0	0	24.338	0	0	3
53	503	0	0.308494326	0	0	0	0	0	0	0	0	24.3349	0	0	3
54	513	0	0.314314973	0	0	0	0	0	0	0	0	24.354	0	0	3
55	522	0	0.320135621	0	0	0	0	0	0	0	0	24.3572	0	0	3
56	532	0	0.325956269	0	0	0	0	0	0	0	0	24.3915	0	0	3
57	542	0	0.331776916	0	0	0	0	0	0	0	0	24.4243	0	0	3
58	554	0	0.337597564	0	0	0	0	0	0	0	0	24.4232	0	0	3
59	564	0	0.343418212	0	0	0	0	0	0	0	0	24.4229	0	0	3
60	573	0	0.349238859	0	0	0	0	0	0	0	0	24.4039	0	0	3
61	582	0	0.355059507	0	0	0	0	0	0	0	0	24.3884	0	0	3
62	592	0	0.360880155	0	0	0	0	0	0	0	0	24.3717	0	0	3
63	602	0	0.366700802	0	0	0	0	0	0	0	0	24.3555	0	0	3
64	611	0	0.37252145	0	0	0	0	0	0	0	0	24.3526	0	0	3
65	621	0	0.378342098	0	0	0	0	0	0	0	0	24.3507	0	0	3
66	631	0	0.384162745	0	0	0	0	0	0	0	0	24.3551	0	0	3
67	640	0	0.389983393	0	0	0	0	0	0	0	0	24.3523	0	0	3
68	650	0	0.395804041	0	0	0	0	0	0	0	0	24.3567	0	0	3
69	659	0	0.401624688	0	0	0	0	0	0	0	0	24.3483	0	0	3
70	669	0	0.407445336	0	0	0	0	0	0	0	0	24.3338	0	0	3
71	678	0	0.413265983	0	0	0	0	0	0	0	0	24.3416	0	0	3
72	688	0	0.419086631	0	0	0	0	0	0	0	0	24.3429	0	0	3
73	698	0	0.424907279	0	0	0	0	0	0	0	0	24.3448	0	0	3
74	707	0	0.430727926	0	0	0	0	0	0	0	0	24.3469	0	0	3
75	717	0	0.436548574	0	0	0	0	0	0	0	0	24.3448	0	0	3
76	726	0	0.442369222	0	0	0	0	0	0	0	0	24.3326	0	0	3
77	734	0	0.448189869	0	0	0	0	0	0	0	0	24.3215	0	0	3
78	743	0	0.454010517	0	0	0	0	0	0	0	0	24.3264	0	0	3
79	751	0	0.459831165	0	0	0	0	0	0	0	0	24.3175	0	0	3
80	760	0	0.465651812	0	0	0	0	0	0	0	0	24.3182	0	0	3
81	768	0	0.47147246	0	0	0	0	0	0	0	0	24.329	0	0	3
82	777	0	0.477293108	0	0	0	0	0	0	0	0	24.3346	0	0	3
83	785	0	0.483113755	0	0	0	0	0	0	0	0	24.3302	0	0	3
84	795	0	0.488934403	0	0	0	0	0	0	0	0	24.3392	0	0	3
85	804	0	0.494755051	0	0	0	0	0	0	0	0	24.3277	0	0	3
86	813	0	0.500575698	0	0	0	0	0	0	0	0	24.3212	0	0	3
87	821	0	0.506396346	0	0	0	0	0	0	0	0	24.3127	0	0	3
88	830	0	0.512216994	0	0	0	0	0	0	0	0	24.325	0	0	3
89	839	0	0.518037641	0	0	0	0	0	0	0	0	24.3395	0	0	3
90	847	0	0.523858289	0	0	0	0	0	0	0	0	24.339	0	0	3
91	855	0	0.529678937	0	0	0	0	0	0	0	0	24.3407	0	0	3
92	864	0	0.535499584	0	0	0	0	0	0	0	0	24.3365	0	0	3
93	873	0	0.541320232	0	0	0	0	0	0	0	0	24.3223	0	0	3
94	881	0	0.54714088	0	0	0	0	0	0	0	0	24.3144	0	0	3
95	890	0	0.552961527	0	0	0	0	0	0	0	0	24.3242	0	0	3
