Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	23	0	0.00582064765	101356.534	101356.534	101356.534	101356.534	0	0	0	0	8160.08	0	0	3
2	32	0	0.0116412953	101327.671	101342.103	101327.671	101356.534	14.4315169	0	0	0	1894.24	0	0	3
3	42	0	0.017461943	101325.329	101336.511	101325.329	101356.534	20.0226004	0	0	0	1425.6	0	0	3
4	51	0	0.0232825906	101325.33	101333.716	101325.329	101356.534	22.8178743	0	0	0	1148.53	0	0	3
5	59	0	0.0291032383	101325.278	101332.029	101325.278	101356.534	24.5055037	0	0	0	995.547	0	0	3
6	68	0	0.0349238859	101325.364	101330.918	101325.278	101356.534	25.6161953	0	0	0	906.94	0	0	3
7	76	0	0.0407445336	101325.353	101330.123	101325.278	101356.534	26.41114	0	0	0	825.154	0	0	3
8	84	0	0.0465651812	101325.386	101329.531	101325.278	101356.534	27.0032094	0	0	0	695.32	0	0	3
9	93	0	0.0523858289	101325.371	101329.069	101325.278	101356.534	27.4654066	0	0	0	596.208	0	0	3
10	101	0	0.0582064765	101325.362	101328.698	101325.278	101356.534	27.8360753	0	0	0	632.23	0	0	3
11	109	0	0.0640271242	101325.357	101328.394	101325.278	101356.534	28.1397749	0	0	0	656.98	0	0	3
12	117	0	0.0698477719	101325.346	101328.14	101325.278	101356.534	28.393815	0	0	0	651.168	0	0	3
13	125	0	0.0756684195	101325.28	101327.92	101325.278	101356.534	28.613831	0	0	0	627.444	0	0	3
14	133	0	0.0814890672	101325.28	101327.732	101325.278	101356.534	28.8024528	0	0	0	605.204	0	0	3
15	142	0	0.0873097148	101325.219	101327.564	101325.219	101356.534	28.9699932	0	0	0	595.153	0	0	3
16	150	0	0.0931303625	101325.222	101327.418	101325.219	101356.534	29.1164013	0	0	0	591.864	0	0	3
17	158	0	0.0989510101	101325.15	101327.284	101325.15	101356.534	29.2497736	0	0	0	588.57	0	0	3
18	166	0	0.104771658	101325.142	101327.165	101325.142	101356.534	29.3687981	0	0	0	586.076	0	0	3
19	174	0	0.110592305	101325.12	101327.058	101325.12	101356.534	29.4764342	0	0	0	581.148	0	0	3
20	182	0	0.116412953	101325.097	101326.96	101325.097	101356.534	29.5744515	0	0	0	576.402	0	0	3
21	190	0	0.122233601	101325.042	101326.868	101325.042	101356.534	29.665757	0	0	0	572.191	0	0	3
22	198	0	0.128054248	101325.038	101326.785	101325.038	101356.534	29.7489629	0	0	0	567.243	0	0	3
23	207	0	0.133874896	101324.928	101326.704	101324.928	101356.534	29.8297021	0	0	0	561.749	0	0	3
24	215	0	0.139695544	101324.874	101326.628	101324.874	101356.534	29.9059775	0	0	0	553.704	0	0	3
25	223	0	0.145516191	101324.836	101326.556	101324.836	101356.534	29.9776513	0	0	0	546.531	0	0	3
26	231	0	0.151336839	101324.815	101326.489	101324.815	101356.534	30.044631	0	0	0	543.175	0	0	3
27	239	0	0.157157487	101324.788	101326.426	101324.788	101356.534	30.1076418	0	0	0	542.153	0	0	3
28	248	0	0.162978134	101324.765	101326.367	101324.765	101356.534	30.1669828	0	0	0	538.835	0	0	3
29	258	0	0.168798782	101324.749	101326.311	101324.749	101356.534	30.222784	0	0	0	535.889	0	0	3
30	268	0	0.17461943	101324.712	101326.258	101324.712	101356.534	30.2760987	0	0	0	530.356	0	0	3
31	278	0	0.180440077	101324.678	101326.207	101324.678	101356.534	30.3270716	0	0	0	527.626	0	0	3
32	288	0	0.186260725	101324.651	101326.158	101324.651	101356.534	30.3756847	0	0	0	526.484	0	0	3
33	300	0	0.192081373	101324.616	101326.112	101324.616	101356.534	30.4224355	0	0	0	525.669	0	0	3
34	310	0	0.19790202	101324.592	101326.067	101324.592	101356.534	30.4671203	0	0	0	522.442	0	0	3
35	320	0	0.203722668	101324.563	101326.024	101324.563	101356.534	30.5100824	0	0	0	520.133	0	0	3
36	330	0	0.209543316	101324.508	101325.982	101324.508	101356.534	30.5522056	0	0	0	519.676	0	0	3
37	340	0	0.215363963	101324.442	101325.94	101324.442	101356.534	30.5938136	0	0	0	519.967	0	0	3
38	349	0	0.221184611	101324.411	101325.9	101324.411	101356.534	30.6340475	0	0	0	518.285	0	0	3
39	359	0	0.227005259	101324.383	101325.861	101324.383	101356.534	30.6729555	0	0	0	516.703	0	0	3
