Iteration	CPUTime	PhysTime	Travels
1	23	0	0.00582064765
2	32	0	0.0116412953
3	42	0	0.017461943
4	51	0	0.0232825906
5	59	0	0.0291032383
6	68	0	0.0349238859
7	76	0	0.0407445336
8	84	0	0.0465651812
9	93	0	0.0523858289
10	101	0	0.0582064765
11	109	0	0.0640271242
12	117	0	0.0698477719
13	125	0	0.0756684195
14	133	0	0.0814890672
15	142	0	0.0873097148
16	150	0	0.0931303625
17	158	0	0.0989510101
18	166	0	0.104771658
19	174	0	0.110592305
20	182	0	0.116412953
21	190	0	0.122233601
22	198	0	0.128054248
23	207	0	0.133874896
24	215	0	0.139695544
25	223	0	0.145516191
26	231	0	0.151336839
27	239	0	0.157157487
28	248	0	0.162978134
29	258	0	0.168798782
30	268	0	0.17461943
31	278	0	0.180440077
32	288	0	0.186260725
33	300	0	0.192081373
34	310	0	0.19790202
35	320	0	0.203722668
36	330	0	0.209543316
37	340	0	0.215363963
38	349	0	0.221184611
39	359	0	0.227005259
40	368	0	0.232825906
41	378	0	0.238646554
42	386	0	0.244467201
43	395	0	0.250287849
44	406	0	0.256108497
45	416	0	0.261929144
46	428	0	0.267749792
47	439	0	0.27357044
48	451	0	0.279391087
49	462	0	0.285211735
50	472	0	0.291032383
51	482	0	0.29685303
52	493	0	0.302673678
53	503	0	0.308494326
54	513	0	0.314314973
55	522	0	0.320135621
56	532	0	0.325956269
57	542	0	0.331776916
58	554	0	0.337597564
59	564	0	0.343418212
60	573	0	0.349238859
61	582	0	0.355059507
62	592	0	0.360880155
63	602	0	0.366700802
64	611	0	0.37252145
65	621	0	0.378342098
66	631	0	0.384162745
67	640	0	0.389983393
68	650	0	0.395804041
69	659	0	0.401624688
70	669	0	0.407445336
71	678	0	0.413265983
72	688	0	0.419086631
73	698	0	0.424907279
74	707	0	0.430727926
75	717	0	0.436548574
76	726	0	0.442369222
77	734	0	0.448189869
78	743	0	0.454010517
79	751	0	0.459831165
80	760	0	0.465651812
81	768	0	0.47147246
82	777	0	0.477293108
83	785	0	0.483113755
84	795	0	0.488934403
85	804	0	0.494755051
86	813	0	0.500575698
87	821	0	0.506396346
88	830	0	0.512216994
89	839	0	0.518037641
90	847	0	0.523858289
91	855	0	0.529678937
92	864	0	0.535499584
93	873	0	0.541320232
94	881	0	0.54714088
95	890	0	0.552961527
