Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	17	0	0.00634350086	-273.4808	-273.4808	-273.4808	-273.4808	0	0	0	0	0	0	0	3
2	24	0	0.0126870017	-17.7975908	-145.639196	-273.4808	-17.7975908	127.841605	0	0	0	0	0	0	3
3	31	0	0.0190305026	-2.57267836	-97.9503565	-273.4808	-2.57267836	175.530444	0	0	0	0	0	0	3
4	38	0	0.0253740034	-2.95665933	-74.2019322	-273.4808	-2.57267836	199.278868	0	0	0	0	0	0	3
5	44	0	0.0317175043	-3.05390806	-59.9723274	-273.4808	-2.57267836	213.508473	0	0	0	0	0	0	3
6	50	0	0.0380610052	-2.8865463	-50.4580306	-273.4808	-2.57267836	223.02277	0	0	0	0	0	0	3
7	56	0	0.044404506	-2.643571	-43.6273935	-273.4808	-2.57267836	229.853407	0	0	0	0	0	0	3
8	61	0	0.0507480069	-2.614804	-38.5008198	-273.4808	-2.57267836	234.979981	0	0	0	0	0	0	3
9	67	0	0.0570915078	-2.56876179	-34.5083689	-273.4808	-2.56876179	238.972432	0	0	0	0	0	0	3
10	73	0	0.0634350086	-2.57308366	-31.3148404	-273.4808	-2.56876179	242.16596	0	0	0	0	0	0	3
11	79	0	0.0697785095	-2.59499262	-28.7039451	-273.4808	-2.56876179	244.776855	0	0	0	0	0	0	3
12	85	0	0.0761220103	-2.60995777	-26.5294462	-273.4808	-2.56876179	246.951354	0	0	0	0	0	0	3
13	91	0	0.0824655112	-2.60228468	-24.6888953	-273.4808	-2.56876179	248.791905	0	0	0	0	0	0	3
14	97	0	0.0888090121	-2.62811456	-23.1131252	-273.4808	-2.56876179	250.367675	0	0	0	0	0	0	3
15	103	0	0.0951525129	-2.61830941	-21.7468042	-273.4808	-2.56876179	251.733996	0	0	0	0	0	0	3
16	109	0	0.101496014	-2.63136173	-20.552089	-273.4808	-2.56876179	252.928711	0	0	0	0	0	0	3
17	115	0	0.107839515	-2.63510028	-19.4981485	-273.4808	-2.56876179	253.982652	0	0	0	0	0	0	3
18	121	0	0.114183016	-2.65475737	-18.5624046	-273.4808	-2.56876179	254.918396	0	0	0	0	0	0	3
19	127	0	0.120526516	-2.65132216	-17.7249792	-273.4808	-2.56876179	255.755821	0	0	0	0	0	0	3
20	134	0	0.126870017	-2.66934428	-16.9721974	-273.4808	-2.56876179	256.508603	0	0	0	0	0	0	3
21	140	0	0.133213518	-2.66337778	-16.2908251	-273.4808	-2.56876179	257.189975	0	0	0	0	0	0	3
22	146	0	0.139557019	-2.63766491	-15.6702269	-273.4808	-2.56876179	257.810574	0	0	0	0	0	0	3
23	152	0	0.14590052	-2.61939508	-15.1027994	-273.4808	-2.56876179	258.378001	0	0	0	0	0	0	3
24	157	0	0.152244021	-2.59627727	-14.5816943	-273.4808	-2.56876179	258.899106	0	0	0	0	0	0	3
25	163	0	0.158587522	-2.59822129	-14.1023554	-273.4808	-2.56876179	259.378445	0	0	0	0	0	0	3
26	169	0	0.164931022	-2.58282744	-13.6592966	-273.4808	-2.56876179	259.821504	0	0	0	0	0	0	3
27	175	0	0.171274523	-2.5395674	-13.2474548	-273.4808	-2.5395674	260.233346	0	0	0	0	0	0	3
28	181	0	0.177618024	-2.52557881	-12.8645307	-273.4808	-2.52557881	260.61627	0	0	0	0	0	0	3
29	187	0	0.183961525	-2.49295038	-12.50689	-273.4808	-2.49295038	260.973911	0	0	0	0	0	0	3
30	194	0	0.190305026	-2.48651236	-12.1728774	-273.4808	-2.48651236	261.307923	0	0	0	0	0	0	3
31	200	0	0.196648527	-2.45468399	-11.8593873	-273.4808	-2.45468399	261.621413	0	0	0	0	0	0	3
32	205	0	0.202992028	-2.44480371	-11.5651815	-273.4808	-2.44480371	261.915619	0	0	0	0	0	0	3
33	212	0	0.209335528	-2.4390539	-11.2886322	-273.4808	-2.4390539	262.192168	0	0	0	0	0	0	3
34	218	0	0.215679029	-2.42698838	-11.0279956	-273.4808	-2.42698838	262.452805	0	0	0	0	0	0	3
35	224	0	0.22202253	-2.43242306	-10.7824078	-273.4808	-2.42698838	262.698393	0	0	0	0	0	0	3
36	230	0	0.228366031	-2.42821464	-10.5503469	-273.4808	-2.42698838	262.930454	0	0	0	0	0	0	3
37	236	0	0.234709532	-2.42747025	-10.3308097	-273.4808	-2.42698838	263.149991	0	0	0	0	0	0	3
