Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	17	0	0.00634350086	105842.129	105842.129	105842.129	105842.129	0	0	0	0	9712.22	0	0	3
2	24	0	0.0126870017	101889.369	103865.749	101889.369	105842.129	1976.38031	0	0	0	1179.03	0	0	3
3	31	0	0.0190305026	101686.988	103139.495	101686.988	105842.129	2702.63399	0	0	0	753.195	0	0	3
4	38	0	0.0253740034	101638.829	102764.329	101638.829	105842.129	3077.80061	0	0	0	673.984	0	0	3
5	44	0	0.0317175043	101664.597	102544.382	101638.829	105842.129	3297.74697	0	0	0	686.896	0	0	3
6	50	0	0.0380610052	101635.061	102392.829	101635.061	105842.129	3449.30054	0	0	0	648.075	0	0	3
7	56	0	0.044404506	101633.992	102284.423	101633.992	105842.129	3557.70578	0	0	0	640.557	0	0	3
8	61	0	0.0507480069	101631.346	102202.789	101631.346	105842.129	3639.34048	0	0	0	636.009	0	0	3
9	67	0	0.0570915078	101627.265	102138.842	101627.265	105842.129	3703.28758	0	0	0	630.603	0	0	3
10	73	0	0.0634350086	101626.624	102087.62	101626.624	105842.129	3754.50933	0	0	0	628.396	0	0	3
11	79	0	0.0697785095	101624.526	102045.52	101624.526	105842.129	3796.6088	0	0	0	606.43	0	0	3
12	85	0	0.0761220103	101629.382	102010.842	101624.526	105842.129	3831.28702	0	0	0	602.641	0	0	3
13	91	0	0.0824655112	101627.127	101981.326	101624.526	105842.129	3860.80359	0	0	0	592.497	0	0	3
14	97	0	0.0888090121	101628.593	101956.13	101624.526	105842.129	3885.99875	0	0	0	587.278	0	0	3
15	103	0	0.0951525129	101629.072	101934.327	101624.526	105842.129	3907.80268	0	0	0	581.057	0	0	3
16	109	0	0.101496014	101631.793	101915.418	101624.526	105842.129	3926.71105	0	0	0	578.526	0	0	3
17	115	0	0.107839515	101632.485	101898.775	101624.526	105842.129	3943.35417	0	0	0	573.297	0	0	3
18	121	0	0.114183016	101633.948	101884.062	101624.526	105842.129	3958.06677	0	0	0	569.506	0	0	3
19	127	0	0.120526516	101639.259	101871.178	101624.526	105842.129	3970.95118	0	0	0	569.701	0	0	3
20	134	0	0.126870017	101640.441	101859.641	101624.526	105842.129	3982.48803	0	0	0	566.749	0	0	3
21	140	0	0.133213518	101645.479	101849.443	101624.526	105842.129	3992.68625	0	0	0	567.887	0	0	3
22	146	0	0.139557019	101652.809	101840.505	101624.526	105842.129	4001.62414	0	0	0	571.575	0	0	3
23	152	0	0.14590052	101655.35	101832.455	101624.526	105842.129	4009.67436	0	0	0	570.569	0	0	3
24	157	0	0.152244021	101654.45	101825.038	101624.526	105842.129	4017.09123	0	0	0	566.867	0	0	3
25	163	0	0.158587522	101655.57	101818.259	101624.526	105842.129	4023.86996	0	0	0	565.655	0	0	3
26	169	0	0.164931022	101654.879	101811.975	101624.526	105842.129	4030.15382	0	0	0	563.228	0	0	3
27	175	0	0.171274523	101651.673	101806.038	101624.526	105842.129	4036.09094	0	0	0	558.621	0	0	3
28	181	0	0.177618024	101652.355	101800.55	101624.526	105842.129	4041.57962	0	0	0	558.121	0	0	3
29	187	0	0.183961525	101651.806	101795.421	101624.526	105842.129	4046.70873	0	0	0	557.062	0	0	3
30	194	0	0.190305026	101651.9	101790.636	101624.526	105842.129	4051.49275	0	0	0	556.956	0	0	3
31	200	0	0.196648527	101651.764	101786.157	101624.526	105842.129	4055.97252	0	0	0	557.188	0	0	3
32	205	0	0.202992028	101652.805	101781.989	101624.526	105842.129	4060.13977	0	0	0	558.579	0	0	3
33	212	0	0.209335528	101650.929	101778.018	101624.526	105842.129	4064.11131	0	0	0	557.511	0	0	3
34	218	0	0.215679029	101652.333	101774.321	101624.526	105842.129	4067.80792	0	0	0	559.512	0	0	3
35	224	0	0.22202253	101650.701	101770.789	101624.526	105842.129	4071.33993	0	0	0	558.704	0	0	3
36	230	0	0.228366031	101649.203	101767.412	101624.526	105842.129	4074.71734	0	0	0	557.937	0	0	3
37	236	0	0.234709532	101650.094	101764.241	101624.526	105842.129	4077.8881	0	0	0	559.956	0	0	3
38	242	0	0.241053033	101652.472	101761.3	101624.526	105842.129	4080.8294	0	0	0	563.305	0	0	3
39	248	0	0.247396534	101653.628	101758.539	101624.526	105842.129	4083.59022	0	0	0	565.125	0	0	3
40	254	0	0.253740034	101651.11	101755.853	101624.526	105842.129	4086.27595	0	0	0	563.795	0	0	3
41	261	0	0.260083535	101651.158	101753.3	101624.526	105842.129	4088.8295	0	0	0	565.262	0	0	3
42	267	0	0.266427036	101651.072	101750.866	101624.526	105842.129	4091.26349	0	0	0	566.146	0	0	3
43	273	0	0.272770537	101649.711	101748.513	101624.526	105842.129	4093.61594	0	0	0	564.992	0	0	3
44	279	0	0.279114038	101653.245	101746.348	101624.526	105842.129	4095.78112	0	0	0	569.424	0	0	3
45	285	0	0.285457539	101652.834	101744.27	101624.526	105842.129	4097.8592	0	0	0	569.782	0	0	3
46	291	0	0.29180104	101651.114	101742.245	101624.526	105842.129	4099.88433	0	0	0	568.784	0	0	3
