Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	17	0	0.00634350086	0	0	0	0	0	0	0	0	0	0	0	3
2	24	0	0.0126870017	0	0	0	0	0	0	0	0	0	0	0	3
3	31	0	0.0190305026	0	0	0	0	0	0	0	0	0	0	0	3
4	38	0	0.0253740034	0	0	0	0	0	0	0	0	0	0	0	3
5	44	0	0.0317175043	0	0	0	0	0	0	0	0	0	0	0	3
6	50	0	0.0380610052	0	0	0	0	0	0	0	0	0	0	0	3
7	56	0	0.044404506	0	0	0	0	0	0	0	0	0	0	0	3
8	61	0	0.0507480069	0	0	0	0	0	0	0	0	0	0	0	3
9	67	0	0.0570915078	0	0	0	0	0	0	0	0	0	0	0	3
10	73	0	0.0634350086	0	0	0	0	0	0	0	0	0	0	0	3
11	79	0	0.0697785095	0	0	0	0	0	0	0	0	0	0	0	3
12	85	0	0.0761220103	0	0	0	0	0	0	0	0	0	0	0	3
13	91	0	0.0824655112	0	0	0	0	0	0	0	0	0	0	0	3
14	97	0	0.0888090121	0	0	0	0	0	0	0	0	0	0	0	3
15	103	0	0.0951525129	0	0	0	0	0	0	0	0	0	0	0	3
16	109	0	0.101496014	0	0	0	0	0	0	0	0	0	0	0	3
17	115	0	0.107839515	0	0	0	0	0	0	0	0	0	0	0	3
18	121	0	0.114183016	0	0	0	0	0	0	0	0	0	0	0	3
19	127	0	0.120526516	0	0	0	0	0	0	0	0	0	0	0	3
20	134	0	0.126870017	0	0	0	0	0	0	0	0	0	0	0	3
21	140	0	0.133213518	0	0	0	0	0	0	0	0	0	0	0	3
22	146	0	0.139557019	0	0	0	0	0	0	0	0	0	0	0	3
23	152	0	0.14590052	0	0	0	0	0	0	0	0	0	0	0	3
24	157	0	0.152244021	0	0	0	0	0	0	0	0	0	0	0	3
25	163	0	0.158587522	0	0	0	0	0	0	0	0	0	0	0	3
26	169	0	0.164931022	0	0	0	0	0	0	0	0	0	0	0	3
