Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	17	0	0.00634350086	293.200828	293.200828	293.200828	293.200828	0	0	0	0	0.423089	0	0	3
2	24	0	0.0126870017	293.200581	293.200704	293.200581	293.200828	0.000123527063	0	0	0	0.408188	0	0	3
3	31	0	0.0190305026	293.200537	293.200648	293.200537	293.200828	0.000179390959	0	0	0	0.403755	0	0	3
4	38	0	0.0253740034	293.200498	293.200611	293.200498	293.200828	0.00021696737	0	0	0	0.400305	0	0	3
5	44	0	0.0317175043	293.20046	293.200581	293.20046	293.200828	0.000247068154	0	0	0	0.3966	0	0	3
6	50	0	0.0380610052	293.20039	293.200549	293.20039	293.200828	0.000278877796	0	0	0	0.39174	0	0	3
7	56	0	0.044404506	293.200307	293.200514	293.200307	293.200828	0.000313398187	0	0	0	0.386744	0	0	3
8	61	0	0.0507480069	293.200223	293.200478	293.200223	293.200828	0.00034987919	0	0	0	0.38212	0	0	3
9	67	0	0.0570915078	293.200139	293.20044	293.200139	293.200828	0.000387511117	0	0	0	0.377829	0	0	3
10	73	0	0.0634350086	293.200058	293.200402	293.200058	293.200828	0.000425697976	0	0	0	0.373612	0	0	3
11	79	0	0.0697785095	293.199971	293.200363	293.199971	293.200828	0.000464884234	0	0	0	0.36313	0	0	3
12	85	0	0.0761220103	293.199894	293.200324	293.199894	293.200828	0.000504001719	0	0	0	0.35398	0	0	3
13	91	0	0.0824655112	293.199825	293.200285	293.199825	293.200828	0.000542406012	0	0	0	0.346049	0	0	3
14	97	0	0.0888090121	293.199762	293.200248	293.199762	293.200828	0.000579770063	0	0	0	0.338502	0	0	3
15	103	0	0.0951525129	293.199705	293.200212	293.199705	293.200828	0.0006159475	0	0	0	0.332708	0	0	3
16	109	0	0.101496014	293.199629	293.200175	293.199629	293.200828	0.000652385595	0	0	0	0.326206	0	0	3
17	115	0	0.107839515	293.199558	293.200139	293.199558	293.200828	0.00068873147	0	0	0	0.321353	0	0	3
18	121	0	0.114183016	293.199491	293.200103	293.199491	293.200828	0.000724730047	0	0	0	0.317087	0	0	3
19	127	0	0.120526516	293.199428	293.200068	293.199428	293.200828	0.000760274144	0	0	0	0.313619	0	0	3
20	134	0	0.126870017	293.199367	293.200033	293.199367	293.200828	0.000795300199	0	0	0	0.310697	0	0	3
21	140	0	0.133213518	293.199277	293.199997	293.199277	293.200828	0.000831265928	0	0	0	0.307529	0	0	3
22	146	0	0.139557019	293.199187	293.19996	293.199187	293.200828	0.000868050243	0	0	0	0.304027	0	0	3
23	152	0	0.14590052	293.199096	293.199922	293.199096	293.200828	0.000905602581	0	0	0	0.301549	0	0	3
24	157	0	0.152244021	293.199003	293.199884	293.199003	293.200828	0.000943920026	0	0	0	0.29955	0	0	3
25	163	0	0.158587522	293.198908	293.199845	293.198908	293.200828	0.000982944759	0	0	0	0.29814	0	0	3
26	169	0	0.164931022	293.19876	293.199803	293.19876	293.200828	0.00102467266	0	0	0	0.297184	0	0	3
27	175	0	0.171274523	293.198602	293.199759	293.198602	293.200828	0.0010691579	0	0	0	0.296545	0	0	3
28	181	0	0.177618024	293.198435	293.199711	293.198435	293.200828	0.0011164413	0	0	0	0.296423	0	0	3
29	187	0	0.183961525	293.19826	293.199661	293.19826	293.200828	0.00116649741	0	0	0	0.296604	0	0	3
30	194	0	0.190305026	293.198077	293.199609	293.198077	293.200828	0.00121929542	0	0	0	0.296997	0	0	3
31	200	0	0.196648527	293.197792	293.19955	293.197792	293.200828	0.00127788369	0	0	0	0.297874	0	0	3
32	205	0	0.202992028	293.197509	293.199486	293.197509	293.200828	0.00134165781	0	0	0	0.298706	0	0	3
33	212	0	0.209335528	293.197244	293.199418	293.197244	293.200828	0.00140960852	0	0	0	0.299171	0	0	3
34	218	0	0.215679029	293.197002	293.199347	293.197002	293.200828	0.00148067948	0	0	0	0.299892	0	0	3
35	224	0	0.22202253	293.196796	293.199274	293.196796	293.200828	0.00155355722	0	0	0	0.300597	0	0	3
36	230	0	0.228366031	293.196579	293.199199	293.196579	293.200828	0.00162842153	0	0	0	0.302166	0	0	3
37	236	0	0.234709532	293.196444	293.199125	293.196444	293.200828	0.00170288658	0	0	0	0.303701	0	0	3
38	242	0	0.241053033	293.196375	293.199053	293.196375	293.200828	0.00177524891	0	0	0	0.303966	0	0	3
39	248	0	0.247396534	293.196357	293.198983	293.196357	293.200828	0.00184437027	0	0	0	0.305135	0	0	3
40	254	0	0.253740034	293.196371	293.198918	293.196357	293.200828	0.0019096864	0	0	0	0.306679	0	0	3
41	261	0	0.260083535	293.196409	293.198857	293.196357	293.200828	0.0019708764	0	0	0	0.308185	0	0	3
42	267	0	0.266427036	293.19645	293.1988	293.196357	293.200828	0.00202818403	0	0	0	0.30838	0	0	3
43	273	0	0.272770537	293.196481	293.198746	293.196357	293.200828	0.00208209408	0	0	0	0.308955	0	0	3
44	279	0	0.279114038	293.196503	293.198695	293.196357	293.200828	0.00213306515	0	0	0	0.309766	0	0	3
45	285	0	0.285457539	293.196517	293.198646	293.196357	293.200828	0.00218145406	0	0	0	0.310772	0	0	3
